date,number_of_strikes,center_point_geom
2016-01-07,4808,POINT(-75.9 36.6)
2016-01-07,171,POINT(-89.7 36.1)
2016-01-07,4307,POINT(-109.9 37.5)
2016-01-07,1991,POINT(-112.8 47.9)
2016-01-07,1005,POINT(-104.6 39.5)
2016-01-07,4921,POINT(-96.4 39.5)
2016-01-07,3352,POINT(-107.2 28.1)
2016-01-07,4561,POINT(-94.1 48.9)
2016-01-08,3808,POINT(-115.1 43.5)
2016-01-08,1285,POINT(-66.3 46.1)
2016-01-08,1026,POINT(-118.5 34.9)
2016-01-08,347,POINT(-69.1 37.1)
2016-01-08,888,POINT(-70.2 37.5)
2016-01-08,1086,POINT(-93.5 29.7)
2016-01-08,4897,POINT(-81.5 41.5)
2016-01-08,4003,POINT(-98.8 46.7)
2016-01-08,4869,POINT(-87.2 28.9)
2016-01-08,389,POINT(-104.6 27.1)
2016-01-09,502,POINT(-106.9 42.7)
2016-01-09,2072,POINT(-90.3 31.6)
2016-01-09,3894,POINT(-95.1 40.0)
2016-01-09,74,POINT(-90.2 41.7)
2016-01-09,2578,POINT(-107.8 32.7)
2016-01-09,2037,POINT(-103.0 44.6)
2016-01-09,2705,POINT(-120.0 38.2)
2016-01-09,1505,POINT(-121.9 45.9)
2016-01-09,401,POINT(-109.8 43.3)
2016-01-09,4524,POINT(-120.5 45.8)
2016-01-10,4484,POINT(-118.8 25.5)
2016-01-10,3571,POINT(-76.2 30.8)
2016-01-10,2288,POINT(-122.7 27.2)
2016-01-10,3109,POINT(-85.5 35.6)
2016-01-10,210,POINT(-108.6 46.4)
2016-01-10,4885,POINT(-72.7 36.2)
2016-01-10,3114,POINT(-95.9 45.4)
2016-01-10,4608,POINT(-106.7 32.9)
2016-01-10,2464,POINT(-93.9 33.1)
2016-01-10,3655,POINT(-102.1 46.5)
2016-01-11,814,POINT(-91.1 35.2)
2016-01-11,2741,POINT(-118.1 44.0)
2016-01-11,2783,POINT(-65.2 30.7)
2016-01-11,1580,POINT(-99.5 47.8)
2016-01-11,2700,POINT(-104.1 38.8)
2016-01-11,3850,POINT(-82.4 43.2)
2016-01-11,1038,POINT(-103.2 27.1)
2016-01-11,512,POINT(-75.0 36.8)
2016-01-11,4503,POINT(-97.7 46.6)
2016-01-11,880,POINT(-81.8 46.0)
2016-01-12,4498,POINT(-118.6 26.1)
2016-01-12,216,POINT(-74.2 32.3)
2016-01-12,1494,POINT(-80.9 35.6)
2016-01-12,873,POINT(-112.3 29.1)
2016-01-12,2800,POINT(-116.3 42.5)
2016-01-12,573,POINT(-106.0 29.4)
2016-01-12,4201,POINT(-66.4 33.3)
2016-01-12,1767,POINT(-109.6 40.9)
2016-01-12,1688,POINT(-97.6 36.6)
2016-01-12,3252,POINT(-123.2 42.7)
2016-01-13,4646,POINT(-101.2 48.1)
2016-01-13,1069,POINT(-90.7 27.8)
2016-01-13,1732,POINT(-67.8 42.0)
2016-01-13,3324,POINT(-94.0 30.5)
2016-01-13,3167,POINT(-75.9 34.9)
2016-01-13,2635,POINT(-92.2 25.8)
2016-01-13,2739,POINT(-122.6 28.3)
2016-01-13,1607,POINT(-106.1 32.7)
2016-01-13,3070,POINT(-90.5 33.2)
2016-01-13,2703,POINT(-68.0 46.6)
2016-01-14,4901,POINT(-73.5 42.8)
2016-01-14,3637,POINT(-111.3 48.3)
2016-01-14,1373,POINT(-111.8 39.4)
2016-01-14,1991,POINT(-112.9 30.8)
2016-01-14,1673,POINT(-69.7 32.9)
2016-01-14,1539,POINT(-73.8 32.7)
2016-01-14,2048,POINT(-78.5 32.8)
2016-01-14,3312,POINT(-101.4 41.2)
2016-01-14,2247,POINT(-94.7 37.7)
2016-01-14,1316,POINT(-97.1 34.3)
2016-01-15,4039,POINT(-109.8 28.6)
2016-01-15,2685,POINT(-94.7 25.5)
2016-01-15,1292,POINT(-123.2 30.3)
2016-01-15,719,POINT(-117.1 27.6)
2016-01-15,4754,POINT(-71.8 43.9)
2016-01-15,4423,POINT(-79.9 27.7)
2016-01-15,3758,POINT(-99.6 42.4)
2016-01-15,4789,POINT(-94.0 34.3)
2016-01-15,673,POINT(-102.8 26.8)
2016-01-15,2008,POINT(-80.6 44.5)
2016-01-16,3455,POINT(-77.9 38.9)
2016-01-16,3753,POINT(-79.2 30.7)
2016-01-16,1505,POINT(-81.6 46.5)
2016-01-16,3314,POINT(-112.7 26.1)
2016-01-16,3773,POINT(-104.7 29.8)
2016-01-16,1863,POINT(-96.8 43.0)
2016-01-16,4669,POINT(-105.2 42.0)
2016-01-16,1301,POINT(-79.7 31.9)
2016-01-16,3591,POINT(-105.2 26.5)
2016-01-16,3467,POINT(-116.7 45.6)
2016-01-17,1646,POINT(-101.1 32.5)
2016-01-17,3706,POINT(-66.2 29.7)
2016-01-17,3009,POINT(-111.4 37.4)
2016-01-17,3162,POINT(-88.3 46.8)
2016-01-17,708,POINT(-99.0 26.0)
2016-01-17,2170,POINT(-120.7 43.4)
2016-01-17,4107,POINT(-95.7 38.7)
2016-01-17,4747,POINT(-82.9 35.2)
2016-01-17,864,POINT(-94.2 42.9)
2016-01-17,3484,POINT(-72.7 48.2)
2016-01-18,1717,POINT(-107.7 30.5)
2016-01-18,2787,POINT(-119.8 28.4)
2016-01-18,1743,POINT(-68.8 46.9)
2016-01-18,4941,POINT(-102.3 41.1)
2016-01-18,3520,POINT(-90.4 35.5)
2016-01-18,212,POINT(-77.5 38.8)
2016-01-18,3265,POINT(-105.5 42.9)
2016-01-18,4228,POINT(-82.0 43.6)
2016-01-18,4506,POINT(-116.9 47.1)
2016-01-18,776,POINT(-107.5 35.2)
2016-01-19,4399,POINT(-116.3 32.0)
2016-01-19,2337,POINT(-76.3 40.4)
2016-01-19,2941,POINT(-111.6 35.0)
2016-01-19,207,POINT(-82.0 39.3)
2016-01-19,1940,POINT(-68.4 35.1)
2016-01-19,3592,POINT(-93.3 28.7)
2016-01-19,618,POINT(-92.6 36.3)
2016-01-19,3282,POINT(-97.3 41.6)
2016-01-19,1157,POINT(-105.4 44.2)
2016-01-19,4292,POINT(-96.5 36.8)
2016-01-20,3407,POINT(-88.8 29.0)
2016-01-20,2521,POINT(-65.8 35.0)
2016-01-20,1804,POINT(-68.7 43.9)
2016-01-20,669,POINT(-73.3 34.9)
2016-01-20,2821,POINT(-71.7 41.7)
2016-01-20,1379,POINT(-96.9 37.2)
2016-01-20,1996,POINT(-85.6 30.8)
2016-01-20,156,POINT(-71.3 44.1)
2016-01-20,3229,POINT(-101.4 27.0)
2016-01-20,2921,POINT(-67.3 37.6)
2016-01-21,1744,POINT(-100.1 30.0)
2016-01-21,1853,POINT(-88.9 26.6)
2016-01-21,498,POINT(-82.4 37.1)
2016-01-21,2986,POINT(-68.0 37.0)
2016-01-21,1969,POINT(-110.3 42.0)
2016-01-21,2395,POINT(-80.2 42.9)
2016-01-21,2929,POINT(-93.8 42.5)
2016-01-21,4746,POINT(-108.9 34.8)
2016-01-21,1812,POINT(-78.4 40.2)
2016-01-21,4071,POINT(-91.9 38.8)
2016-01-22,3379,POINT(-85.3 35.1)
2016-01-22,272,POINT(-105.6 39.3)
2016-01-22,633,POINT(-96.1 47.7)
2016-01-22,1026,POINT(-88.0 29.6)
2016-01-22,3653,POINT(-100.7 46.7)
2016-01-22,4986,POINT(-113.1 26.3)
2016-01-22,2059,POINT(-67.3 32.4)
2016-01-22,3733,POINT(-94.3 31.9)
2016-01-22,4558,POINT(-81.0 40.0)
2016-01-22,3118,POINT(-100.3 28.1)
2016-01-23,4100,POINT(-103.7 46.2)
2016-01-23,2066,POINT(-100.6 44.9)
2016-01-23,3180,POINT(-100.4 40.6)
2016-01-23,1692,POINT(-92.3 36.0)
2016-01-23,2265,POINT(-92.4 47.4)
2016-01-23,1164,POINT(-95.2 44.9)
2016-01-23,4509,POINT(-116.9 37.0)
2016-01-23,3201,POINT(-95.2 41.8)
2016-01-23,1706,POINT(-114.9 38.6)
2016-01-23,4001,POINT(-117.4 39.1)
2016-01-24,4733,POINT(-69.0 32.9)
2016-01-24,4692,POINT(-88.7 36.1)
2016-01-24,1658,POINT(-85.4 26.9)
2016-01-24,1455,POINT(-100.9 33.6)
2016-01-24,4209,POINT(-70.5 41.7)
2016-01-24,3933,POINT(-86.7 47.9)
2016-01-24,263,POINT(-78.8 48.1)
2016-01-24,3193,POINT(-102.9 38.3)
2016-01-24,2567,POINT(-67.4 39.6)
2016-01-24,108,POINT(-75.8 29.5)
2016-01-25,2210,POINT(-73.8 41.7)
2016-01-25,2971,POINT(-114.7 26.7)
2016-01-25,4983,POINT(-108.7 31.8)
2016-01-25,4443,POINT(-107.9 41.0)
2016-01-25,3787,POINT(-108.7 32.4)
2016-01-25,2879,POINT(-73.7 26.2)
2016-01-25,3244,POINT(-123.1 45.0)
2016-01-25,3801,POINT(-120.4 32.4)
2016-01-25,966,POINT(-108.6 26.5)
2016-01-25,4077,POINT(-113.0 26.8)
2016-01-26,170,POINT(-111.1 31.0)
2016-01-26,4503,POINT(-77.1 29.3)
2016-01-26,1310,POINT(-91.2 43.6)
2016-01-26,4921,POINT(-124.7 32.7)
2016-01-26,3997,POINT(-99.2 44.3)
2016-01-26,1537,POINT(-100.5 29.2)
2016-01-26,1228,POINT(-118.2 36.8)
2016-01-26,4506,POINT(-84.4 41.5)
2016-01-26,4745,POINT(-82.9 40.6)
2016-01-26,3114,POINT(-81.7 39.4)
2016-01-27,2745,POINT(-81.3 47.2)
2016-01-27,4565,POINT(-125.0 30.5)
2016-01-27,964,POINT(-67.8 36.8)
2016-01-27,4575,POINT(-76.1 46.2)
2016-01-27,3456,POINT(-70.8 26.9)
2016-01-27,1055,POINT(-124.1 26.3)
2016-01-27,1703,POINT(-69.0 30.6)
2016-01-27,3446,POINT(-76.4 40.2)
2016-01-27,572,POINT(-74.8 31.2)
2016-01-27,2495,POINT(-119.4 29.6)
2016-01-28,3364,POINT(-80.7 36.0)
2016-01-28,235,POINT(-67.4 39.7)
2016-01-28,4903,POINT(-84.3 31.0)
2016-01-28,969,POINT(-90.8 32.2)
2016-01-28,4558,POINT(-68.3 39.7)
2016-01-28,3077,POINT(-98.4 47.7)
2016-01-28,825,POINT(-89.0 41.2)
2016-01-28,4764,POINT(-96.4 43.8)
2016-01-28,4652,POINT(-69.0 33.8)
2016-01-28,3130,POINT(-120.4 31.5)
2016-01-29,26,POINT(-94.9 35.9)
2016-01-29,1253,POINT(-83.8 44.4)
2016-01-29,2215,POINT(-77.5 36.0)
2016-01-29,2534,POINT(-90.0 45.3)
2016-01-29,1079,POINT(-70.5 48.7)
2016-01-29,3454,POINT(-68.5 26.7)
2016-01-29,2575,POINT(-121.1 26.1)
2016-01-29,1070,POINT(-100.9 28.6)
2016-01-29,2337,POINT(-123.6 34.2)
2016-01-29,3430,POINT(-105.2 28.1)
2016-01-30,311,POINT(-92.8 45.9)
2016-01-30,4286,POINT(-70.4 25.6)
2016-01-30,616,POINT(-74.2 32.6)
2016-01-30,3180,POINT(-117.4 29.4)
2016-01-30,709,POINT(-119.4 47.4)
2016-01-30,1149,POINT(-89.6 41.1)
2016-01-30,200,POINT(-93.1 46.9)
2016-01-30,2310,POINT(-109.0 48.3)
2016-01-30,990,POINT(-71.0 36.9)
2016-01-30,2985,POINT(-69.4 30.6)
2016-01-31,1194,POINT(-100.8 29.6)
2016-01-31,3337,POINT(-71.6 30.4)
2016-01-31,3404,POINT(-102.0 42.0)
2016-01-31,137,POINT(-80.8 26.0)
2016-01-31,2075,POINT(-96.4 26.2)
2016-01-31,1826,POINT(-117.6 39.6)
2016-01-31,579,POINT(-69.3 40.4)
2016-01-31,1905,POINT(-97.8 41.0)
2016-01-31,2743,POINT(-80.9 33.9)
2016-01-31,3873,POINT(-103.0 44.3)
2016-02-01,4731,POINT(-123.9 37.8)
2016-02-01,4024,POINT(-119.0 27.5)
2016-02-01,2911,POINT(-95.2 44.1)
2016-02-01,1696,POINT(-83.6 47.9)
2016-02-01,3019,POINT(-104.9 26.4)
2016-02-01,164,POINT(-83.3 34.4)
2016-02-01,2547,POINT(-83.1 36.7)
2016-02-01,1419,POINT(-82.8 28.5)
2016-02-01,4067,POINT(-95.4 45.8)
2016-02-01,794,POINT(-70.1 31.8)
2016-02-02,3185,POINT(-95.6 43.8)
2016-02-02,4351,POINT(-98.0 41.1)
2016-02-02,2816,POINT(-113.0 39.4)
2016-02-02,547,POINT(-106.5 29.6)
2016-02-02,1851,POINT(-122.5 30.3)
2016-02-02,2465,POINT(-87.0 26.1)
2016-02-02,534,POINT(-110.1 30.8)
2016-02-02,2960,POINT(-106.8 33.3)
2016-02-02,4141,POINT(-78.8 45.0)
2016-02-02,4790,POINT(-105.4 33.8)
2016-02-03,4125,POINT(-110.5 43.1)
2016-02-03,2378,POINT(-114.9 35.5)
2016-02-03,3857,POINT(-78.5 43.8)
2016-02-03,4505,POINT(-117.2 48.4)
2016-02-03,2711,POINT(-97.8 30.8)
2016-02-03,981,POINT(-94.6 45.7)
2016-02-03,1176,POINT(-83.8 39.9)
2016-02-03,4939,POINT(-87.0 44.6)
2016-02-03,2784,POINT(-76.4 40.6)
2016-02-03,1992,POINT(-122.3 35.2)
2016-02-04,863,POINT(-107.2 30.5)
2016-02-04,4156,POINT(-108.2 26.7)
2016-02-04,3746,POINT(-116.2 37.9)
2016-02-04,3779,POINT(-107.6 48.8)
2016-02-04,584,POINT(-106.4 42.7)
2016-02-04,3271,POINT(-93.7 32.9)
2016-02-04,1158,POINT(-85.2 44.9)
2016-02-04,1725,POINT(-102.1 43.5)
2016-02-04,4787,POINT(-81.8 31.8)
2016-02-04,4943,POINT(-104.8 25.3)
2016-02-05,3864,POINT(-107.6 27.8)
2016-02-05,2501,POINT(-92.5 46.1)
2016-02-05,2670,POINT(-123.6 45.1)
2016-02-05,3134,POINT(-120.2 32.1)
2016-02-05,3061,POINT(-99.9 31.8)
2016-02-05,14,POINT(-68.4 44.0)
2016-02-05,4879,POINT(-81.7 47.5)
2016-02-05,886,POINT(-119.7 43.7)
2016-02-05,1001,POINT(-74.2 39.5)
2016-02-05,4152,POINT(-81.1 30.8)
2016-02-06,4374,POINT(-88.3 37.6)
2016-02-06,4475,POINT(-75.8 30.6)
2016-02-06,645,POINT(-100.8 44.4)
2016-02-06,1703,POINT(-111.7 34.3)
2016-02-06,1692,POINT(-94.3 45.0)
2016-02-06,4762,POINT(-92.1 34.2)
2016-02-06,129,POINT(-92.7 44.8)
2016-02-06,840,POINT(-91.1 33.0)
2016-02-06,3685,POINT(-68.1 35.6)
2016-02-06,1379,POINT(-70.9 39.8)
2016-02-07,750,POINT(-72.5 26.7)
2016-02-07,126,POINT(-76.9 47.8)
2016-02-07,2848,POINT(-68.4 38.8)
2016-02-07,1160,POINT(-119.1 37.2)
2016-02-07,1941,POINT(-109.1 45.1)
2016-02-07,1022,POINT(-95.3 45.8)
2016-02-07,1674,POINT(-74.2 37.5)
2016-02-07,1091,POINT(-94.7 47.3)
2016-02-07,4739,POINT(-80.1 26.6)
2016-02-07,522,POINT(-116.7 27.7)
2016-02-08,2859,POINT(-109.9 39.3)
2016-02-08,569,POINT(-81.1 33.5)
2016-02-08,3682,POINT(-115.1 36.1)
2016-02-08,4593,POINT(-103.9 32.9)
2016-02-08,3353,POINT(-109.1 34.7)
2016-02-08,4080,POINT(-104.0 44.7)
2016-02-08,4809,POINT(-82.5 39.2)
2016-02-08,1480,POINT(-102.9 48.9)
2016-02-08,590,POINT(-91.7 43.9)
2016-02-08,2304,POINT(-119.0 31.6)
2016-02-09,3157,POINT(-76.7 31.3)
2016-02-09,4259,POINT(-102.8 33.1)
2016-02-09,1689,POINT(-86.1 45.2)
2016-02-09,3516,POINT(-81.5 25.7)
2016-02-09,2754,POINT(-112.4 30.5)
2016-02-09,3366,POINT(-71.9 46.7)
2016-02-09,4055,POINT(-88.0 40.4)
2016-02-09,1253,POINT(-99.3 30.4)
2016-02-09,3128,POINT(-114.1 30.3)
2016-02-09,2151,POINT(-68.5 45.7)
2016-02-10,3069,POINT(-79.7 46.5)
2016-02-10,4558,POINT(-112.5 31.1)
2016-02-10,2969,POINT(-104.7 35.1)
2016-02-10,2275,POINT(-76.4 45.0)
2016-02-10,2489,POINT(-83.3 43.5)
2016-02-10,4656,POINT(-79.1 44.5)
2016-02-10,1645,POINT(-98.5 37.4)
2016-02-10,1767,POINT(-82.0 46.9)
2016-02-10,4462,POINT(-101.8 32.8)
2016-02-10,2080,POINT(-112.3 28.8)
2016-02-11,2859,POINT(-87.0 42.0)
2016-02-11,3261,POINT(-66.4 37.9)
2016-02-11,3740,POINT(-106.4 45.5)
2016-02-11,2499,POINT(-97.3 26.9)
2016-02-11,1641,POINT(-84.6 45.2)
2016-02-11,2826,POINT(-92.5 32.0)
2016-02-11,1025,POINT(-74.4 40.7)
2016-02-11,1358,POINT(-79.3 26.0)
2016-02-11,4621,POINT(-121.5 39.6)
2016-02-11,3097,POINT(-65.1 42.2)
2016-02-12,2849,POINT(-79.9 33.9)
2016-02-12,345,POINT(-73.2 30.2)
2016-02-12,4602,POINT(-85.9 37.9)
2016-02-12,905,POINT(-73.6 45.0)
2016-02-12,3556,POINT(-118.3 32.8)
2016-02-12,861,POINT(-104.1 31.1)
2016-02-12,1697,POINT(-72.4 31.7)
2016-02-12,1941,POINT(-112.9 47.8)
2016-02-12,3756,POINT(-120.3 33.6)
2016-02-12,2437,POINT(-77.7 25.1)
2016-02-13,1578,POINT(-74.9 43.8)
2016-02-13,4010,POINT(-115.2 41.8)
2016-02-13,2748,POINT(-73.7 28.1)
2016-02-13,3508,POINT(-83.8 48.6)
2016-02-13,3923,POINT(-93.8 39.6)
2016-02-13,1076,POINT(-75.2 37.0)
2016-02-13,4390,POINT(-99.8 34.2)
2016-02-13,2454,POINT(-113.4 46.6)
2016-02-13,4117,POINT(-107.9 30.9)
2016-02-13,3383,POINT(-94.7 31.9)
2016-02-14,3979,POINT(-93.1 27.9)
2016-02-14,2556,POINT(-76.7 43.2)
2016-02-14,763,POINT(-77.5 39.3)
2016-02-14,2092,POINT(-90.1 39.6)
2016-02-14,2784,POINT(-78.2 30.2)
2016-02-14,2906,POINT(-113.5 40.6)
2016-02-14,4195,POINT(-122.0 43.4)
2016-02-14,785,POINT(-72.6 33.6)
2016-02-14,1635,POINT(-120.5 44.2)
2016-02-14,3079,POINT(-110.2 33.4)
2016-02-15,427,POINT(-83.3 43.2)
2016-02-15,124,POINT(-100.4 25.8)
2016-02-15,626,POINT(-72.4 38.2)
2016-02-15,3984,POINT(-107.1 48.3)
2016-02-15,3277,POINT(-124.3 48.5)
2016-02-15,835,POINT(-107.0 31.8)
2016-02-15,1526,POINT(-90.3 35.6)
2016-02-15,3156,POINT(-102.4 26.5)
2016-02-15,422,POINT(-92.9 46.0)
2016-02-15,738,POINT(-72.4 38.6)
2016-02-16,3358,POINT(-70.3 34.2)
2016-02-16,2818,POINT(-109.0 27.7)
2016-02-16,685,POINT(-97.3 47.7)
2016-02-16,3475,POINT(-92.1 37.7)
2016-02-16,2514,POINT(-68.1 31.8)
2016-02-16,2977,POINT(-65.1 33.4)
2016-02-16,2796,POINT(-110.9 31.5)
2016-02-16,1132,POINT(-81.4 39.4)
2016-02-16,4089,POINT(-102.3 47.3)
2016-02-16,1581,POINT(-124.5 45.6)
2016-02-17,2153,POINT(-124.4 36.0)
2016-02-17,1697,POINT(-97.4 44.8)
2016-02-17,4142,POINT(-95.7 35.2)
2016-02-17,3861,POINT(-123.6 31.1)
2016-02-17,3450,POINT(-83.8 48.6)
2016-02-17,3776,POINT(-107.4 32.3)
2016-02-17,2336,POINT(-91.4 32.8)
2016-02-17,2924,POINT(-106.9 48.8)
2016-02-17,4978,POINT(-115.0 28.2)
2016-02-17,3962,POINT(-100.6 43.3)
2016-02-18,605,POINT(-111.1 47.5)
2016-02-18,738,POINT(-92.9 37.3)
2016-02-18,1375,POINT(-113.1 25.1)
2016-02-18,4502,POINT(-94.5 34.0)
2016-02-18,708,POINT(-115.6 27.7)
2016-02-18,405,POINT(-84.7 35.0)
2016-02-18,4181,POINT(-79.8 44.0)
2016-02-18,4370,POINT(-118.4 35.5)
2016-02-18,2512,POINT(-96.9 35.4)
2016-02-18,1829,POINT(-120.7 38.4)
2016-02-19,727,POINT(-89.1 39.0)
2016-02-19,2792,POINT(-109.1 45.6)
2016-02-19,4956,POINT(-93.3 32.4)
2016-02-19,3587,POINT(-94.0 44.7)
2016-02-19,153,POINT(-69.5 38.6)
2016-02-19,4990,POINT(-92.1 32.2)
2016-02-19,3150,POINT(-90.0 32.1)
2016-02-19,4501,POINT(-100.9 33.7)
2016-02-19,2948,POINT(-68.1 39.9)
2016-02-19,3646,POINT(-78.4 30.5)
2016-02-20,3232,POINT(-107.9 47.1)
2016-02-20,1177,POINT(-74.3 38.8)
2016-02-20,2626,POINT(-99.1 47.1)
2016-02-20,1072,POINT(-75.3 26.1)
2016-02-20,2166,POINT(-75.6 33.2)
2016-02-20,2992,POINT(-113.7 25.5)
2016-02-20,3304,POINT(-82.9 31.5)
2016-02-20,4739,POINT(-107.6 45.7)
2016-02-20,1166,POINT(-107.2 25.9)
2016-02-20,742,POINT(-107.2 35.5)
2016-02-21,4340,POINT(-81.5 27.8)
2016-02-21,4856,POINT(-111.2 35.0)
2016-02-21,963,POINT(-124.9 45.1)
2016-02-21,2549,POINT(-82.1 40.0)
2016-02-21,3334,POINT(-114.7 42.7)
2016-02-21,3311,POINT(-118.7 33.4)
2016-02-21,1552,POINT(-110.7 47.7)
2016-02-21,1201,POINT(-102.2 42.0)
2016-02-21,3003,POINT(-96.4 35.1)
2016-02-21,2691,POINT(-122.3 35.2)
2016-02-22,1227,POINT(-66.8 47.0)
2016-02-22,1550,POINT(-82.0 38.8)
2016-02-22,3246,POINT(-105.6 42.0)
2016-02-22,2396,POINT(-105.9 35.0)
2016-02-22,3729,POINT(-98.1 30.4)
2016-02-22,1398,POINT(-87.4 42.4)
2016-02-22,1866,POINT(-116.2 39.6)
2016-02-22,1375,POINT(-113.7 37.0)
2016-02-22,509,POINT(-73.4 40.0)
2016-02-22,1690,POINT(-109.6 30.0)
2016-02-23,520,POINT(-102.2 44.1)
2016-02-23,4322,POINT(-72.7 47.8)
2016-02-23,1334,POINT(-85.2 46.4)
2016-02-23,1165,POINT(-104.5 32.7)
2016-02-23,1837,POINT(-84.0 34.7)
2016-02-23,3151,POINT(-123.8 44.4)
2016-02-23,3496,POINT(-80.9 39.3)
2016-02-23,1820,POINT(-95.8 38.1)
2016-02-23,2933,POINT(-76.2 47.2)
2016-02-23,2224,POINT(-67.7 37.9)
2016-02-24,4196,POINT(-69.5 37.4)
2016-02-24,723,POINT(-70.4 26.0)
2016-02-24,3612,POINT(-94.3 26.7)
2016-02-24,4144,POINT(-103.4 25.2)
2016-02-24,3532,POINT(-97.1 46.9)
2016-02-24,4278,POINT(-83.6 34.8)
2016-02-24,4758,POINT(-72.0 36.2)
2016-02-24,4859,POINT(-112.6 45.3)
2016-02-24,1253,POINT(-69.9 39.6)
2016-02-24,3719,POINT(-76.1 39.6)
2016-02-25,1091,POINT(-66.3 32.1)
2016-02-25,465,POINT(-72.2 45.0)
2016-02-25,4934,POINT(-108.2 29.0)
2016-02-25,904,POINT(-118.6 26.3)
2016-02-25,1394,POINT(-118.3 29.6)
2016-02-25,1968,POINT(-107.5 31.4)
2016-02-25,3082,POINT(-88.1 31.8)
2016-02-25,2006,POINT(-76.7 41.1)
2016-02-25,4295,POINT(-71.0 30.2)
2016-02-25,514,POINT(-87.6 41.2)
2016-02-26,1224,POINT(-124.7 27.2)
2016-02-26,1541,POINT(-113.8 28.5)
2016-02-26,3450,POINT(-119.0 37.2)
2016-02-26,833,POINT(-103.2 47.1)
2016-02-26,938,POINT(-94.9 45.6)
2016-02-26,143,POINT(-122.4 48.3)
2016-02-26,2115,POINT(-104.1 40.6)
2016-02-26,3637,POINT(-114.2 41.2)
2016-02-26,4790,POINT(-86.2 40.0)
2016-02-26,1862,POINT(-97.1 39.9)
2016-02-27,4920,POINT(-95.3 28.5)
2016-02-27,4185,POINT(-99.3 38.0)
2016-02-27,2943,POINT(-67.6 34.3)
2016-02-27,3294,POINT(-112.1 35.6)
2016-02-27,4308,POINT(-94.0 37.6)
2016-02-27,2821,POINT(-80.8 28.1)
2016-02-27,1260,POINT(-91.6 33.6)
2016-02-27,3522,POINT(-69.3 26.5)
2016-02-27,1266,POINT(-102.3 48.5)
2016-02-27,3386,POINT(-97.2 27.8)
2016-02-28,3496,POINT(-119.7 31.2)
2016-02-28,3594,POINT(-88.5 46.4)
2016-02-28,1406,POINT(-107.7 36.6)
2016-02-28,3647,POINT(-115.4 28.3)
2016-02-28,3340,POINT(-92.3 34.2)
2016-02-28,2713,POINT(-93.1 27.8)
