date,number_of_strikes,center_point_geom
2018-08-02,8,POINT(-85.2 49.2)
2018-02-04,18,POINT(-105.3 24.4)
2018-08-15,27,POINT(-92.6 31.8)
2018-04-11,11,POINT(-88.3 39.9)
2018-05-11,20,POINT(-90.5 29.2)
2018-09-14,25,POINT(-74.2 28.0)
2018-01-05,25,POINT(-75.1 44.4)
2018-08-06,2,POINT(-71.5 49.4)
2018-09-12,40,POINT(-86.6 43.2)
2018-12-25,13,POINT(-71.4 35.7)
2018-10-10,7,POINT(-78.4 33.3)
2018-07-26,6,POINT(-106.5 36.2)
2018-01-15,14,POINT(-98.6 33.9)
2018-12-12,44,POINT(-108.1 35.1)
2018-02-11,10,POINT(-119.8 26.1)
2018-06-28,28,POINT(-110.6 47.1)
2018-03-04,3,POINT(-119.8 42.6)
2018-12-18,13,POINT(-84.0 40.4)
2018-08-19,96,POINT(-98.7 48.5)
2018-08-29,30,POINT(-104.4 28.5)
2018-02-21,5,POINT(-81.9 22.4)
2018-04-06,14,POINT(-78.4 44.8)
2018-08-10,6,POINT(-71.2 50.0)
2018-08-19,11,POINT(-87.9 37.4)
2018-08-25,31,POINT(-96.9 21.8)
2018-05-23,30,POINT(-104.7 43.4)
2018-06-20,6,POINT(-108.9 22.2)
2018-01-29,52,POINT(-109.4 36.2)
2018-02-05,18,POINT(-99.5 28.3)
2018-01-13,10,POINT(-70.4 47.5)
2018-06-09,14,POINT(-120.0 33.5)
2018-11-23,19,POINT(-110.1 47.0)
2018-07-06,17,POINT(-110.6 29.0)
2018-08-31,14,POINT(-84.1 31.6)
2018-03-27,15,POINT(-102.4 48.4)
2018-10-11,4,POINT(-97.1 26.0)
2018-03-07,34,POINT(-112.6 37.4)
2018-06-19,16,POINT(-99.8 31.7)
2018-02-14,3,POINT(-114.8 43.2)
2018-03-03,30,POINT(-93.3 23.9)
2018-05-14,54,POINT(-115.1 33.1)
2018-10-11,59,POINT(-80.5 41.0)
2018-01-28,10,POINT(-91.7 32.2)
2018-04-18,3,POINT(-83.8 21.8)
2018-02-13,15,POINT(-99.1 41.2)
2018-12-06,3,POINT(-100.9 35.1)
2018-10-13,55,POINT(-115.1 20.3)
2018-11-27,5,POINT(-93.8 38.4)
2018-05-08,6,POINT(-94.3 47.6)
2018-12-14,11,POINT(-96.6 23.3)
2018-08-19,10,POINT(-83.0 37.7)
2018-07-09,32,POINT(-78.4 41.9)
2018-08-13,13,POINT(-82.5 22.1)
2018-10-10,4,POINT(-112.8 20.7)
2018-05-01,7,POINT(-88.9 33.9)
2018-04-26,15,POINT(-116.0 43.7)
2018-08-21,4,POINT(-85.3 24.8)
2018-09-16,19,POINT(-100.9 45.1)
2018-12-25,17,POINT(-113.4 39.7)
2018-07-17,26,POINT(-76.9 30.0)
2018-05-17,56,POINT(-89.3 35.5)
2018-11-14,49,POINT(-102.3 49.0)
2018-06-14,59,POINT(-118.5 26.5)
2018-08-13,6,POINT(-93.1 35.0)
2018-11-03,3,POINT(-73.8 38.7)
2018-08-22,8,POINT(-90.2 24.1)
2018-06-21,46,POINT(-71.4 21.3)
2018-06-01,72,POINT(-113.2 20.4)
2018-11-11,40,POINT(-91.6 29.7)
2018-06-09,3,POINT(-80.1 22.2)
2018-04-06,59,POINT(-93.7 44.1)
2018-08-21,12,POINT(-115.4 49.9)
2018-06-29,1,POINT(-90.9 21.8)
2018-04-23,12,POINT(-89.4 33.0)
2018-11-14,1,POINT(-83.6 20.8)
2018-02-21,16,POINT(-81.9 24.0)
2018-09-25,9,POINT(-81.5 29.7)
2018-10-22,13,POINT(-86.8 31.8)
2018-04-23,19,POINT(-109.2 48.2)
2018-04-11,41,POINT(-99.8 31.9)
2018-04-23,22,POINT(-81.2 34.9)
2018-03-22,12,POINT(-72.3 27.4)
2018-07-06,35,POINT(-116.1 20.0)
2018-04-23,48,POINT(-93.2 47.0)
2018-01-02,3,POINT(-104.4 22.5)
2018-05-10,16,POINT(-108.7 48.9)
2018-08-08,7,POINT(-94.7 23.9)
2018-02-23,1,POINT(-89.7 38.1)
2018-12-09,23,POINT(-119.5 50.0)
2018-08-12,40,POINT(-81.0 24.2)
2018-08-13,4,POINT(-79.0 32.7)
2018-05-06,34,POINT(-71.7 43.4)
2018-05-10,39,POINT(-111.0 21.0)
2018-02-22,50,POINT(-90.3 40.7)
2018-06-21,7,POINT(-98.7 22.4)
2018-08-06,47,POINT(-103.3 27.1)
2018-06-09,8,POINT(-91.7 24.8)
2018-07-17,17,POINT(-80.9 47.2)
2018-09-04,2,POINT(-118.8 25.4)
2018-11-20,1,POINT(-71.5 21.2)
2018-07-22,26,POINT(-79.5 37.6)
2018-07-03,12,POINT(-82.4 30.4)
2018-05-03,6,POINT(-82.0 32.2)
2018-09-12,5,POINT(-100.5 23.6)
2018-10-21,23,POINT(-82.4 42.4)
2018-10-07,1,POINT(-100.7 38.0)
2018-11-21,33,POINT(-75.1 30.9)
2018-04-08,2,POINT(-111.1 25.1)
2018-07-17,5,POINT(-105.4 37.8)
2018-08-28,10,POINT(-92.4 43.4)
2018-05-24,14,POINT(-104.0 29.4)
2018-04-07,9,POINT(-98.8 20.8)
2018-07-20,8,POINT(-95.4 26.4)
2018-05-04,67,POINT(-77.2 40.5)
2018-07-06,21,POINT(-93.8 49.7)
2018-11-22,1,POINT(-101.9 20.4)
2018-12-15,12,POINT(-107.6 29.2)
2018-09-16,42,POINT(-99.6 21.9)
2018-05-28,8,POINT(-94.2 29.5)
2018-09-09,2,POINT(-82.7 32.2)
2018-12-12,29,POINT(-113.9 47.6)
2018-05-27,19,POINT(-108.9 22.4)
2018-05-28,17,POINT(-101.0 43.3)
2018-12-18,2,POINT(-102.0 31.9)
2018-07-18,4,POINT(-100.4 44.3)
2018-11-04,20,POINT(-80.3 35.4)
2018-05-08,5,POINT(-103.8 21.2)
2018-02-08,15,POINT(-94.9 48.4)
2018-12-04,16,POINT(-88.8 22.5)
2018-12-26,7,POINT(-108.4 37.9)
2018-05-09,60,POINT(-84.1 46.3)
2018-09-24,37,POINT(-92.6 22.4)
2018-05-31,26,POINT(-97.7 36.6)
2018-10-25,2,POINT(-79.5 44.7)
2018-04-09,3,POINT(-107.8 49.6)
2018-09-20,14,POINT(-75.8 41.7)
2018-09-09,4,POINT(-91.9 28.4)
2018-05-24,77,POINT(-89.5 41.0)
2018-12-12,4,POINT(-76.2 41.2)
2018-04-22,14,POINT(-79.1 41.0)
2018-03-01,10,POINT(-89.9 45.6)
2018-01-02,21,POINT(-82.3 22.6)
2018-10-31,3,POINT(-98.3 23.3)
2018-09-11,12,POINT(-92.6 39.2)
2018-05-20,7,POINT(-116.9 48.6)
2018-02-06,44,POINT(-115.5 34.0)
2018-06-09,1,POINT(-78.5 48.8)
2018-01-09,50,POINT(-117.0 48.1)
2018-08-21,36,POINT(-111.5 47.1)
2018-04-09,8,POINT(-80.2 47.3)
2018-05-27,32,POINT(-119.9 46.9)
2018-10-31,1,POINT(-105.9 44.6)
2018-07-27,69,POINT(-90.8 40.8)
2018-05-11,15,POINT(-90.2 20.7)
2018-06-01,8,POINT(-81.1 24.0)
2018-02-23,10,POINT(-94.7 24.0)
2018-04-30,2,POINT(-94.5 20.7)
2018-06-10,91,POINT(-83.7 23.5)
2018-04-26,1,POINT(-95.1 47.6)
2018-03-16,22,POINT(-89.6 39.9)
2018-04-23,12,POINT(-75.1 29.4)
2018-04-14,60,POINT(-99.9 43.8)
2018-12-06,6,POINT(-100.7 34.7)
2018-09-11,16,POINT(-119.8 24.3)
2018-08-15,14,POINT(-89.3 46.5)
2018-04-22,25,POINT(-118.5 30.2)
2018-04-09,2,POINT(-94.8 41.0)
2018-06-02,5,POINT(-79.8 28.7)
2018-12-15,5,POINT(-92.5 35.0)
2018-12-04,27,POINT(-106.5 44.5)
2018-07-13,5,POINT(-80.7 24.7)
2018-11-06,18,POINT(-106.5 49.3)
2018-06-12,5,POINT(-83.3 22.1)
2018-07-27,40,POINT(-89.5 36.0)
2018-06-18,58,POINT(-111.5 47.5)
2018-06-10,15,POINT(-74.7 48.4)
2018-03-09,9,POINT(-110.0 27.0)
2018-10-16,6,POINT(-70.5 24.3)
2018-10-04,2,POINT(-119.6 41.7)
2018-10-31,7,POINT(-106.8 21.3)
2018-05-15,22,POINT(-110.0 34.6)
2018-07-14,16,POINT(-119.3 43.9)
2018-05-08,58,POINT(-83.4 36.8)
2018-02-02,11,POINT(-85.3 25.6)
2018-06-25,24,POINT(-80.4 34.6)
2018-01-22,14,POINT(-107.2 47.6)
2018-08-26,15,POINT(-97.8 38.5)
2018-06-07,7,POINT(-87.0 41.6)
2018-02-07,13,POINT(-98.0 30.1)
2018-08-18,13,POINT(-85.1 25.7)
2018-12-31,25,POINT(-88.3 27.7)
2018-02-20,57,POINT(-114.3 36.0)
2018-09-21,8,POINT(-80.9 28.4)
2018-10-10,1,POINT(-84.0 36.3)
2018-01-27,14,POINT(-87.2 41.2)
2018-08-14,16,POINT(-112.2 42.0)
2018-10-04,4,POINT(-106.6 24.9)
2018-10-13,29,POINT(-100.3 42.5)
2018-04-07,84,POINT(-106.0 40.2)
2018-10-11,59,POINT(-108.6 20.4)
2018-11-13,5,POINT(-79.7 21.8)
2018-10-31,42,POINT(-88.1 39.4)
2018-05-27,25,POINT(-91.7 31.5)
2018-01-04,13,POINT(-108.7 24.4)
2018-02-04,16,POINT(-74.1 21.3)
2018-07-11,38,POINT(-110.4 24.8)
2018-02-18,14,POINT(-80.3 48.7)
2018-01-17,10,POINT(-71.7 41.8)
2018-06-21,14,POINT(-83.6 35.8)
2018-08-08,18,POINT(-70.4 48.2)
2018-06-07,5,POINT(-87.4 38.6)
2018-02-15,47,POINT(-109.1 41.8)
2018-01-06,23,POINT(-109.8 28.5)
2018-04-09,21,POINT(-103.8 37.7)
2018-08-21,3,POINT(-119.6 24.3)
2018-02-06,19,POINT(-85.9 32.1)
2018-10-07,3,POINT(-106.6 21.0)
2018-12-15,2,POINT(-79.2 26.5)
2018-10-29,15,POINT(-102.0 22.2)
2018-06-30,11,POINT(-96.0 31.6)
2018-04-05,18,POINT(-71.7 45.3)
2018-04-09,2,POINT(-107.9 31.3)
2018-07-07,12,POINT(-83.9 44.9)
2018-04-26,4,POINT(-82.2 39.7)
2018-07-10,88,POINT(-109.0 35.3)
2018-09-10,17,POINT(-95.0 27.1)
2018-06-10,24,POINT(-102.5 47.7)
2018-09-13,8,POINT(-81.4 21.6)
2018-11-19,2,POINT(-88.9 40.7)
2018-05-08,75,POINT(-96.2 38.6)
2018-01-18,7,POINT(-81.0 33.2)
2018-10-08,12,POINT(-108.2 27.2)
2018-08-11,21,POINT(-82.3 32.9)
2018-02-23,1,POINT(-76.7 46.2)
2018-02-27,34,POINT(-76.1 45.1)
2018-11-19,16,POINT(-80.8 48.2)
2018-12-26,7,POINT(-99.6 29.2)
2018-06-23,2,POINT(-70.9 31.6)
2018-10-07,4,POINT(-101.0 20.6)
2018-04-24,46,POINT(-88.1 48.3)
2018-10-15,24,POINT(-111.9 29.9)
2018-12-08,6,POINT(-71.0 32.1)
2018-05-31,2,POINT(-84.8 47.2)
2018-05-07,24,POINT(-82.3 35.8)
2018-06-04,17,POINT(-116.7 37.0)
2018-09-30,11,POINT(-81.8 25.3)
2018-04-14,10,POINT(-81.3 35.0)
2018-10-26,5,POINT(-86.4 47.5)
2018-09-03,23,POINT(-105.4 36.8)
2018-06-25,71,POINT(-95.5 27.7)
2018-02-08,4,POINT(-114.5 20.9)
2018-06-19,19,POINT(-96.4 30.1)
2018-09-04,12,POINT(-107.8 37.2)
2018-01-26,12,POINT(-102.5 21.3)
2018-12-21,6,POINT(-111.9 38.3)
2018-11-02,35,POINT(-108.5 35.7)
2018-01-13,14,POINT(-116.2 43.5)
2018-11-12,16,POINT(-74.0 20.9)
2018-11-09,8,POINT(-93.5 43.4)
2018-02-05,5,POINT(-100.2 35.6)
2018-06-22,2,POINT(-93.2 31.1)
2018-01-20,26,POINT(-88.6 49.0)
2018-11-17,5,POINT(-73.9 24.8)
2018-09-21,24,POINT(-111.1 36.2)
2018-05-22,10,POINT(-105.2 29.6)
2018-05-23,11,POINT(-71.2 35.8)
2018-04-02,13,POINT(-101.4 36.6)
2018-12-20,10,POINT(-118.9 22.7)
2018-11-18,3,POINT(-112.6 39.8)
2018-10-15,8,POINT(-118.7 39.0)
2018-08-03,22,POINT(-70.5 43.1)
2018-12-08,22,POINT(-106.1 22.7)
2018-02-20,7,POINT(-73.8 28.9)
2018-06-02,13,POINT(-70.2 39.5)
2018-07-05,5,POINT(-90.0 24.1)
2018-03-04,5,POINT(-118.3 40.3)
2018-07-09,1,POINT(-115.9 21.8)
2018-05-05,46,POINT(-95.9 30.0)
2018-05-30,5,POINT(-99.7 45.4)
2018-11-10,6,POINT(-89.7 43.2)
2018-02-27,7,POINT(-98.1 39.3)
2018-12-08,3,POINT(-73.3 46.1)
2018-11-01,21,POINT(-93.3 41.3)
2018-06-29,2,POINT(-85.3 35.6)
2018-06-19,3,POINT(-75.2 49.4)
2018-11-22,21,POINT(-112.7 40.8)
2018-09-28,9,POINT(-108.5 38.0)
2018-02-23,25,POINT(-114.6 32.3)
2018-04-11,17,POINT(-113.0 47.1)
2018-09-21,6,POINT(-94.4 28.9)
2018-02-22,22,POINT(-103.9 20.3)
2018-03-01,3,POINT(-98.8 25.9)
2018-04-18,16,POINT(-70.9 23.3)
2018-01-05,12,POINT(-112.2 29.6)
2018-04-13,7,POINT(-93.0 44.8)
2018-07-15,19,POINT(-115.1 39.5)
2018-09-19,42,POINT(-104.1 25.1)
2018-12-31,137,POINT(-93.6 43.7)
2018-12-16,19,POINT(-72.7 35.1)
2018-02-16,11,POINT(-100.4 35.4)
2018-12-21,6,POINT(-116.8 30.9)
2018-11-07,6,POINT(-100.6 45.9)
2018-11-04,14,POINT(-112.7 29.5)
2018-05-24,10,POINT(-108.5 22.8)
2018-09-26,50,POINT(-89.1 29.1)
2018-05-04,10,POINT(-116.6 41.5)
2018-04-16,10,POINT(-96.8 39.7)
2018-06-07,10,POINT(-89.5 25.6)
2018-05-27,37,POINT(-98.9 23.4)
2018-05-25,22,POINT(-119.0 39.8)
2018-04-30,20,POINT(-70.7 40.3)
2018-11-15,9,POINT(-101.6 31.0)
2018-10-02,35,POINT(-81.1 45.3)
2018-04-02,1,POINT(-103.7 49.3)
2018-02-27,41,POINT(-96.2 26.2)
2018-12-12,15,POINT(-100.6 37.3)
2018-08-17,11,POINT(-102.9 20.2)
2018-04-27,14,POINT(-118.9 41.4)
2018-11-14,23,POINT(-102.0 32.4)
2018-10-06,1,POINT(-75.5 25.8)
2018-05-07,42,POINT(-85.5 42.6)
2018-05-09,12,POINT(-112.7 44.3)
2018-02-27,9,POINT(-90.4 23.3)
2018-05-02,3,POINT(-75.4 21.2)
2018-01-01,12,POINT(-85.0 30.0)
2018-08-27,14,POINT(-112.6 38.8)
2018-10-17,11,POINT(-76.6 43.8)
2018-04-06,23,POINT(-104.9 36.4)
2018-05-06,11,POINT(-97.3 37.4)
2018-04-28,66,POINT(-93.7 44.0)
2018-02-17,19,POINT(-77.5 35.9)
2018-03-30,33,POINT(-73.4 38.3)
2018-08-25,3,POINT(-73.5 35.5)
2018-09-29,11,POINT(-119.6 46.4)
2018-07-08,9,POINT(-73.9 27.1)
2018-07-11,17,POINT(-117.3 27.9)
2018-03-10,40,POINT(-106.7 23.8)
2018-10-05,2,POINT(-94.3 44.6)
2018-12-15,2,POINT(-96.0 32.4)
2018-09-04,38,POINT(-89.8 30.4)
2018-03-17,5,POINT(-96.0 49.4)
2018-06-03,23,POINT(-73.3 47.8)
2018-05-24,16,POINT(-108.0 49.2)
2018-03-27,36,POINT(-106.3 24.3)
2018-07-04,3,POINT(-74.0 46.7)
2018-10-12,3,POINT(-116.2 29.9)
2018-08-08,17,POINT(-89.5 20.4)
2018-03-10,59,POINT(-85.9 31.7)
2018-02-16,11,POINT(-94.7 35.3)
2018-04-04,8,POINT(-85.3 23.2)
2018-08-26,19,POINT(-111.4 36.1)
2018-07-23,54,POINT(-77.4 44.6)
2018-08-06,37,POINT(-113.0 31.3)
2018-12-07,109,POINT(-100.0 30.6)
2018-02-08,1,POINT(-116.2 30.2)
2018-04-10,3,POINT(-92.7 47.7)
2018-10-16,19,POINT(-86.5 21.5)
2018-09-11,35,POINT(-72.9 33.4)
2018-08-10,7,POINT(-83.0 27.9)
2018-12-23,6,POINT(-92.9 46.8)
2018-01-23,31,POINT(-73.4 22.9)
2018-09-07,2,POINT(-96.1 32.3)
2018-01-10,10,POINT(-91.9 32.2)
2018-09-03,15,POINT(-90.2 46.7)
2018-11-21,17,POINT(-99.5 26.5)
2018-04-10,27,POINT(-78.1 39.3)
2018-10-17,9,POINT(-110.7 24.0)
2018-06-29,19,POINT(-92.3 48.6)
2018-08-11,18,POINT(-83.9 37.8)
2018-09-07,16,POINT(-74.8 38.8)
2018-05-27,21,POINT(-75.8 33.0)
2018-04-06,7,POINT(-94.6 30.3)
2018-09-14,2,POINT(-87.8 26.4)
2018-11-21,3,POINT(-100.3 38.1)
2018-01-04,6,POINT(-96.6 48.6)
2018-01-16,14,POINT(-74.7 30.8)
2018-10-07,37,POINT(-73.5 46.5)
2018-12-02,25,POINT(-75.2 24.5)
2018-09-04,32,POINT(-113.1 48.1)
2018-09-15,9,POINT(-77.5 30.5)
2018-06-09,11,POINT(-72.6 31.4)
2018-12-06,11,POINT(-101.9 33.9)
2018-06-01,5,POINT(-94.1 41.5)
2018-06-27,2,POINT(-81.0 41.6)
2018-06-12,18,POINT(-91.9 34.4)
2018-02-02,91,POINT(-70.3 35.7)
2018-06-28,4,POINT(-97.2 20.9)
2018-04-11,1,POINT(-84.3 29.1)
2018-09-25,31,POINT(-80.4 30.4)
2018-11-19,6,POINT(-95.3 36.8)
2018-03-06,36,POINT(-77.2 36.7)
2018-06-17,25,POINT(-92.7 41.3)
2018-11-26,59,POINT(-99.4 41.5)
2018-02-12,11,POINT(-114.6 27.1)
2018-02-13,22,POINT(-100.3 43.1)
2018-10-12,13,POINT(-83.3 20.6)
2018-01-12,20,POINT(-73.9 41.5)
2018-04-05,12,POINT(-107.4 23.1)
2018-10-29,5,POINT(-102.2 41.9)
2018-09-10,15,POINT(-112.3 35.8)
2018-08-30,16,POINT(-85.5 33.1)
2018-02-04,34,POINT(-72.0 40.7)
2018-08-03,27,POINT(-88.0 21.1)
2018-12-03,22,POINT(-89.1 26.7)
2018-03-31,3,POINT(-92.3 38.5)
2018-09-21,26,POINT(-115.6 45.4)
2018-04-03,14,POINT(-83.5 31.4)
2018-03-31,45,POINT(-89.9 27.8)
2018-04-25,51,POINT(-86.9 35.6)
2018-04-15,2,POINT(-75.1 38.7)
2018-07-15,35,POINT(-80.8 32.6)
2018-11-10,1,POINT(-81.0 46.3)
2018-04-24,10,POINT(-73.6 35.7)
2018-03-16,16,POINT(-70.5 21.1)
2018-08-05,4,POINT(-90.9 26.7)
2018-10-04,28,POINT(-114.6 33.5)
2018-09-06,1,POINT(-97.0 40.9)
2018-06-13,4,POINT(-80.6 26.6)
2018-12-23,18,POINT(-118.6 49.3)
2018-07-11,26,POINT(-117.2 29.6)
2018-08-15,50,POINT(-116.6 36.0)
2018-06-26,25,POINT(-83.4 20.6)
2018-04-09,23,POINT(-94.9 46.5)
2018-02-05,11,POINT(-101.6 43.7)
2018-04-06,1,POINT(-114.7 25.9)
2018-06-01,3,POINT(-83.4 48.0)
2018-05-31,16,POINT(-103.9 29.5)
2018-07-09,23,POINT(-106.7 40.8)
2018-08-12,11,POINT(-87.4 44.6)
2018-02-06,27,POINT(-92.0 42.2)
2018-09-25,15,POINT(-101.9 47.5)
2018-07-02,2,POINT(-87.9 45.9)
2018-01-13,5,POINT(-106.4 49.8)
2018-10-06,37,POINT(-80.3 25.5)
2018-08-05,26,POINT(-108.5 29.1)
2018-12-21,46,POINT(-112.1 39.1)
2018-12-27,3,POINT(-80.9 42.0)
2018-10-13,93,POINT(-84.6 36.0)
2018-09-30,5,POINT(-110.9 22.2)
2018-03-03,1,POINT(-114.2 45.2)
2018-03-25,120,POINT(-78.1 48.8)
2018-08-05,7,POINT(-81.2 32.2)
2018-12-08,23,POINT(-103.6 26.7)
2018-07-06,4,POINT(-87.1 20.6)
2018-01-19,18,POINT(-113.8 27.1)
2018-06-26,47,POINT(-94.6 41.0)
2018-04-10,8,POINT(-119.1 47.3)
2018-08-21,23,POINT(-100.4 22.8)
2018-03-17,5,POINT(-116.3 36.6)
2018-09-22,20,POINT(-96.2 40.9)
2018-10-11,9,POINT(-98.9 28.3)
2018-07-25,5,POINT(-97.8 37.1)
2018-08-11,8,POINT(-117.7 41.5)
2018-02-21,4,POINT(-101.9 45.1)
2018-12-05,47,POINT(-82.2 33.6)
2018-05-24,11,POINT(-101.6 42.4)
2018-03-10,6,POINT(-84.2 29.1)
2018-04-09,12,POINT(-101.5 26.4)
2018-01-25,8,POINT(-98.8 25.6)
2018-02-22,28,POINT(-91.8 30.8)
2018-05-31,71,POINT(-72.5 21.1)
2018-05-24,12,POINT(-114.6 28.5)
2018-02-26,40,POINT(-118.4 39.6)
2018-02-08,17,POINT(-89.6 39.4)
2018-04-19,4,POINT(-72.5 22.2)
2018-06-30,24,POINT(-70.5 28.6)
2018-02-11,15,POINT(-95.8 37.1)
2018-07-05,22,POINT(-96.6 29.6)
2018-08-11,45,POINT(-87.8 32.5)
2018-05-02,12,POINT(-92.2 41.4)
2018-05-13,47,POINT(-88.3 20.3)
2018-06-12,28,POINT(-76.3 28.3)
2018-08-03,14,POINT(-82.7 24.3)
2018-08-09,19,POINT(-95.2 23.8)
2018-08-23,8,POINT(-96.9 48.8)
2018-11-27,83,POINT(-88.0 31.3)
2018-05-26,23,POINT(-97.2 35.8)
2018-08-27,1,POINT(-97.1 42.0)
2018-03-17,8,POINT(-119.2 21.4)
2018-01-09,20,POINT(-111.3 27.2)
2018-03-15,2,POINT(-95.6 45.0)
2018-09-10,1,POINT(-78.9 45.9)
2018-08-18,12,POINT(-106.1 31.2)
2018-01-07,9,POINT(-93.9 31.2)
2018-06-23,12,POINT(-102.8 42.7)
