date,number_of_strikes,center_point_geom
2016-07-12,2,POINT(-71.7 35.9)
2016-12-25,94,POINT(-71.7 36.1)
2017-06-03,47,POINT(-112.2 42.9)
2016-03-13,5,POINT(-102.7 21.8)
2016-03-18,10,POINT(-104.5 20.2)
2017-10-21,56,POINT(-73.9 41.4)
2016-03-08,32,POINT(-115.7 48.6)
2017-11-25,48,POINT(-90.6 25.8)
2016-11-29,17,POINT(-95.7 24.5)
2016-03-25,6,POINT(-71.2 30.3)
2017-05-10,6,POINT(-71.8 41.1)
2016-03-19,15,POINT(-98.8 42.9)
2017-07-04,52,POINT(-97.9 48.1)
2016-11-01,20,POINT(-100.8 44.1)
2016-01-20,1,POINT(-80.5 20.8)
2017-08-04,17,POINT(-115.0 26.2)
2016-06-04,19,POINT(-114.2 30.7)
2016-04-26,18,POINT(-84.8 48.4)
2017-03-25,24,POINT(-119.2 38.2)
2016-01-28,7,POINT(-86.4 49.9)
2017-09-01,4,POINT(-113.6 29.5)
2016-11-24,28,POINT(-80.7 47.6)
2017-10-24,5,POINT(-83.0 41.0)
2016-12-29,3,POINT(-110.9 46.6)
2017-02-22,9,POINT(-82.2 47.7)
2016-01-22,36,POINT(-80.5 33.6)
2016-09-17,2,POINT(-73.7 46.2)
2016-02-29,5,POINT(-83.8 49.5)
2017-02-16,13,POINT(-76.6 40.0)
2016-06-11,7,POINT(-88.1 27.8)
2016-04-23,26,POINT(-88.7 28.1)
2016-12-19,23,POINT(-86.2 42.6)
2016-07-14,37,POINT(-99.7 29.9)
2016-02-14,5,POINT(-108.6 32.3)
2017-09-16,21,POINT(-99.3 35.8)
2016-06-27,30,POINT(-90.3 47.4)
2017-05-07,2,POINT(-85.5 41.3)
2016-11-20,1,POINT(-97.2 28.7)
2017-01-04,17,POINT(-103.5 24.0)
2017-07-21,18,POINT(-107.7 28.7)
2016-12-12,10,POINT(-110.8 30.0)
2016-04-24,1,POINT(-96.2 42.0)
2016-12-22,11,POINT(-84.7 32.8)
2016-06-15,21,POINT(-78.5 49.9)
2016-12-19,25,POINT(-102.7 21.0)
2016-04-24,14,POINT(-89.4 30.6)
2017-02-11,15,POINT(-96.1 22.6)
2017-08-14,23,POINT(-71.7 30.7)
2016-11-18,12,POINT(-75.9 33.0)
2017-06-24,7,POINT(-75.9 46.7)
2016-02-11,6,POINT(-91.0 32.8)
2017-04-04,28,POINT(-98.2 20.8)
2016-04-28,14,POINT(-87.4 48.7)
2017-07-27,20,POINT(-112.0 24.4)
2017-10-28,13,POINT(-75.9 43.2)
2017-03-25,35,POINT(-106.4 26.0)
2017-03-16,14,POINT(-78.7 47.7)
2016-07-07,89,POINT(-105.1 26.8)
2016-10-11,6,POINT(-93.9 45.7)
2016-04-13,3,POINT(-81.4 32.4)
2017-07-22,10,POINT(-100.3 33.4)
2017-04-01,51,POINT(-102.1 38.9)
2016-11-06,39,POINT(-75.6 34.6)
2017-11-14,6,POINT(-116.6 30.1)
2017-01-18,19,POINT(-77.9 27.3)
2017-10-29,18,POINT(-73.6 28.0)
2016-06-13,7,POINT(-91.8 41.1)
2017-02-10,6,POINT(-85.2 23.3)
2017-08-03,10,POINT(-76.9 36.8)
2017-04-20,32,POINT(-98.2 31.4)
2016-02-27,5,POINT(-76.1 30.6)
2017-12-19,12,POINT(-101.4 41.5)
2017-02-19,14,POINT(-104.7 35.1)
2017-08-19,56,POINT(-70.8 22.3)
2017-09-04,8,POINT(-118.4 47.3)
2016-09-07,1,POINT(-104.0 46.9)
2016-08-07,24,POINT(-97.1 32.8)
2016-06-08,29,POINT(-104.5 20.4)
2016-07-05,25,POINT(-105.9 21.8)
2017-08-21,25,POINT(-101.5 34.7)
2017-04-08,14,POINT(-100.1 22.4)
2017-05-12,1,POINT(-116.4 33.3)
2016-11-25,27,POINT(-81.2 25.7)
2016-12-14,56,POINT(-111.6 44.1)
2017-05-14,4,POINT(-117.9 31.0)
2017-10-28,2,POINT(-90.5 31.4)
2017-05-04,7,POINT(-86.6 20.7)
2016-10-06,38,POINT(-82.0 39.6)
2016-06-12,3,POINT(-115.6 43.2)
2017-02-01,26,POINT(-111.4 27.9)
2016-03-08,2,POINT(-110.9 38.5)
2017-03-03,1,POINT(-90.3 39.4)
2017-03-07,45,POINT(-75.5 38.9)
2017-01-09,30,POINT(-84.7 40.9)
2017-12-24,19,POINT(-104.3 43.5)
2017-09-23,4,POINT(-77.3 42.7)
2017-11-27,7,POINT(-86.5 37.2)
2017-02-26,1,POINT(-85.6 48.2)
2017-12-28,21,POINT(-72.1 43.4)
2017-10-03,24,POINT(-72.5 46.7)
2016-03-18,8,POINT(-100.7 35.2)
2017-05-02,9,POINT(-88.2 41.0)
2016-06-18,20,POINT(-109.9 45.9)
2016-02-07,59,POINT(-99.4 36.2)
2017-07-20,11,POINT(-106.3 46.2)
2016-10-16,14,POINT(-101.6 41.8)
2017-07-11,24,POINT(-86.2 42.6)
2016-06-19,9,POINT(-109.5 47.8)
2017-10-03,41,POINT(-111.0 29.9)
2017-11-06,38,POINT(-101.0 37.8)
2017-08-04,23,POINT(-115.1 28.2)
2016-10-18,16,POINT(-79.3 35.9)
2017-08-03,83,POINT(-72.1 33.3)
2017-02-25,25,POINT(-79.9 33.7)
2016-04-14,21,POINT(-93.4 26.3)
2017-07-19,42,POINT(-86.3 38.8)
2017-02-09,17,POINT(-79.7 43.9)
2017-04-03,6,POINT(-116.6 28.1)
2016-09-04,3,POINT(-99.1 23.7)
2016-11-04,13,POINT(-112.8 27.7)
2017-01-07,15,POINT(-115.5 42.7)
2016-04-15,36,POINT(-82.1 21.9)
2016-11-10,4,POINT(-77.1 38.5)
2017-08-31,23,POINT(-115.8 44.6)
2017-06-22,8,POINT(-111.1 44.0)
2016-03-12,56,POINT(-109.0 49.6)
2017-01-12,13,POINT(-77.2 43.7)
2017-05-10,20,POINT(-74.3 24.0)
2016-07-03,22,POINT(-81.8 30.4)
2016-05-13,2,POINT(-80.2 26.5)
2016-06-22,39,POINT(-102.9 31.3)
2017-09-01,4,POINT(-99.6 39.1)
2017-01-27,11,POINT(-106.0 28.7)
2016-03-04,23,POINT(-72.1 23.9)
2017-02-18,2,POINT(-83.6 41.4)
2017-02-06,18,POINT(-102.9 23.5)
2016-04-22,11,POINT(-113.2 48.4)
2016-03-05,2,POINT(-110.3 38.6)
2017-12-28,26,POINT(-109.8 42.9)
2017-02-04,14,POINT(-89.3 44.7)
2016-10-16,8,POINT(-74.9 39.3)
2017-04-27,2,POINT(-76.6 41.1)
2017-02-23,16,POINT(-116.5 43.7)
2016-11-10,8,POINT(-84.5 33.6)
2016-03-29,59,POINT(-111.6 20.1)
2017-10-22,18,POINT(-104.5 49.0)
2016-12-22,7,POINT(-92.8 27.3)
2017-06-01,16,POINT(-78.0 24.5)
2016-12-30,16,POINT(-108.2 47.6)
2016-09-23,26,POINT(-76.3 36.2)
2017-02-09,47,POINT(-83.3 28.3)
2016-05-18,66,POINT(-86.3 48.0)
2016-06-13,26,POINT(-113.4 45.7)
2017-11-27,16,POINT(-96.3 33.7)
2017-10-27,6,POINT(-106.2 48.7)
2016-04-15,11,POINT(-90.6 22.8)
2016-05-28,14,POINT(-86.3 48.1)
2016-07-03,3,POINT(-116.7 33.8)
2017-02-13,6,POINT(-87.8 33.8)
2017-12-03,84,POINT(-95.1 33.6)
2017-11-05,29,POINT(-78.1 32.9)
2016-07-19,14,POINT(-80.3 36.1)
2017-09-09,6,POINT(-99.4 49.9)
2017-12-27,18,POINT(-71.2 20.4)
2016-08-07,6,POINT(-90.7 35.0)
2017-04-14,5,POINT(-71.8 28.5)
2017-12-29,2,POINT(-84.0 25.1)
2017-03-09,9,POINT(-99.6 47.8)
2016-01-29,16,POINT(-108.3 31.5)
2016-03-04,4,POINT(-96.7 36.4)
2016-04-05,5,POINT(-73.2 47.9)
2017-10-27,10,POINT(-113.5 34.4)
2017-06-23,14,POINT(-97.0 28.6)
2017-05-24,29,POINT(-102.7 22.9)
2016-12-05,17,POINT(-76.6 38.0)
2017-11-18,20,POINT(-79.8 47.3)
2016-09-07,24,POINT(-92.4 22.4)
2017-12-06,12,POINT(-99.2 33.4)
2016-10-05,9,POINT(-85.8 39.9)
2016-02-08,33,POINT(-72.3 23.0)
2016-03-09,36,POINT(-114.9 22.4)
2016-10-03,4,POINT(-75.1 26.1)
2016-04-29,62,POINT(-105.3 23.9)
2016-03-26,54,POINT(-119.8 31.3)
2016-06-25,41,POINT(-82.9 32.3)
2017-08-28,11,POINT(-80.6 33.6)
2016-04-01,37,POINT(-104.8 34.7)
2017-02-23,20,POINT(-81.1 21.7)
2016-03-21,5,POINT(-80.1 39.9)
2016-12-06,30,POINT(-86.2 42.0)
2017-02-24,11,POINT(-118.1 24.1)
2016-08-15,7,POINT(-86.6 26.8)
2017-04-17,43,POINT(-73.4 28.4)
2016-03-28,40,POINT(-89.0 32.5)
2016-12-15,40,POINT(-101.7 32.0)
2017-10-01,40,POINT(-91.8 26.2)
2016-07-08,17,POINT(-70.3 22.2)
2017-10-07,20,POINT(-96.4 28.7)
2016-05-15,60,POINT(-77.9 43.4)
2016-11-20,3,POINT(-113.1 21.8)
2016-02-09,33,POINT(-117.2 31.0)
2017-10-11,15,POINT(-100.5 25.8)
2016-10-13,77,POINT(-113.1 41.4)
2016-09-12,21,POINT(-103.5 29.9)
2017-08-19,4,POINT(-84.2 31.9)
2017-02-23,34,POINT(-97.7 47.5)
2017-06-22,23,POINT(-103.9 38.3)
2016-10-17,4,POINT(-75.4 44.7)
2016-11-11,1,POINT(-119.5 40.5)
2016-05-11,16,POINT(-79.3 48.8)
2017-08-25,6,POINT(-88.9 37.1)
2017-06-22,41,POINT(-117.7 27.5)
2016-10-29,6,POINT(-118.3 40.8)
2016-10-08,22,POINT(-111.4 44.6)
2017-05-06,9,POINT(-71.1 49.0)
2016-10-06,9,POINT(-115.7 38.5)
2017-05-14,5,POINT(-83.1 44.7)
2016-07-17,14,POINT(-99.9 41.3)
2017-01-09,18,POINT(-108.2 43.3)
2016-10-26,18,POINT(-91.2 37.9)
2017-10-27,39,POINT(-101.6 28.7)
2016-10-25,22,POINT(-104.5 22.6)
2017-07-08,27,POINT(-108.0 41.6)
2016-11-17,8,POINT(-97.1 44.9)
2016-04-19,11,POINT(-111.5 43.1)
2017-09-14,1,POINT(-77.4 21.2)
2017-04-15,2,POINT(-90.4 21.6)
2017-02-15,10,POINT(-116.9 23.1)
2017-05-27,5,POINT(-97.1 44.7)
2017-04-24,34,POINT(-88.5 38.3)
2016-05-19,23,POINT(-76.9 37.7)
2017-11-20,71,POINT(-118.8 26.4)
2017-05-18,44,POINT(-97.2 22.3)
2016-02-29,77,POINT(-84.7 43.9)
2016-07-01,10,POINT(-110.2 44.9)
2017-02-22,14,POINT(-108.9 27.5)
2016-08-14,10,POINT(-95.5 44.8)
2017-01-25,67,POINT(-75.8 29.4)
2016-05-23,11,POINT(-100.1 44.4)
2017-07-17,3,POINT(-95.8 22.1)
2017-08-15,6,POINT(-88.2 30.3)
2017-10-22,12,POINT(-104.5 43.1)
2016-01-27,19,POINT(-76.6 28.7)
2017-09-14,20,POINT(-71.9 21.2)
2017-05-22,29,POINT(-87.5 24.5)
2017-08-13,21,POINT(-88.1 48.9)
2016-05-06,14,POINT(-86.3 38.0)
2017-03-31,1,POINT(-110.3 25.3)
2016-10-07,24,POINT(-83.4 39.4)
2017-01-29,2,POINT(-102.7 38.7)
2016-11-14,13,POINT(-70.3 32.2)
2017-03-16,46,POINT(-82.4 40.0)
2016-12-06,19,POINT(-90.8 23.4)
2017-11-24,5,POINT(-74.4 29.6)
2016-04-28,34,POINT(-71.5 21.1)
2017-11-20,8,POINT(-79.1 47.4)
2017-12-13,18,POINT(-82.2 46.8)
2017-01-02,21,POINT(-117.0 26.1)
2017-01-19,27,POINT(-84.7 41.2)
2017-05-24,2,POINT(-103.2 44.4)
2017-08-04,39,POINT(-73.5 32.2)
2016-06-06,3,POINT(-89.4 44.5)
2017-09-01,2,POINT(-101.5 34.8)
2017-12-17,13,POINT(-103.1 43.9)
2016-03-26,10,POINT(-92.3 42.7)
2016-12-26,2,POINT(-95.4 36.9)
2016-03-25,4,POINT(-100.5 35.2)
2016-12-24,12,POINT(-109.6 28.8)
2017-12-27,36,POINT(-80.2 32.3)
2016-05-12,3,POINT(-98.3 31.8)
2017-01-21,3,POINT(-115.1 23.1)
2016-09-03,33,POINT(-115.7 35.7)
2016-05-20,14,POINT(-108.1 37.4)
2017-03-22,9,POINT(-92.4 49.1)
2016-03-16,13,POINT(-112.6 28.5)
2016-04-07,11,POINT(-109.2 32.0)
2016-10-29,31,POINT(-94.9 36.6)
2017-04-10,1,POINT(-109.1 45.6)
2016-02-24,12,POINT(-77.1 27.7)
2016-10-31,4,POINT(-90.5 27.0)
2017-06-17,8,POINT(-115.7 36.0)
2016-02-04,3,POINT(-113.0 23.9)
2017-06-23,12,POINT(-110.2 40.9)
2017-05-03,21,POINT(-88.5 45.8)
2017-11-12,22,POINT(-114.7 20.9)
2016-05-19,32,POINT(-117.8 25.8)
2017-10-02,34,POINT(-83.6 37.4)
2016-04-09,19,POINT(-96.1 44.8)
2017-01-07,9,POINT(-77.6 34.7)
2016-01-23,2,POINT(-80.4 43.5)
2016-10-10,1,POINT(-106.3 32.7)
2016-04-22,3,POINT(-110.4 31.6)
2017-01-07,83,POINT(-94.2 25.4)
2016-07-15,31,POINT(-116.0 24.5)
2016-06-12,11,POINT(-88.4 42.4)
2017-03-06,13,POINT(-119.4 25.1)
2017-07-21,27,POINT(-79.8 32.2)
2016-01-10,15,POINT(-75.5 36.4)
2017-10-06,9,POINT(-70.2 27.9)
2017-02-01,9,POINT(-102.8 45.0)
2016-05-31,5,POINT(-91.9 32.1)
2016-07-09,44,POINT(-76.9 31.3)
2016-10-03,11,POINT(-96.9 25.3)
2017-05-07,28,POINT(-103.5 26.6)
2016-08-30,18,POINT(-117.6 28.7)
2017-05-02,29,POINT(-100.3 30.5)
2016-10-02,8,POINT(-116.1 41.0)
2016-07-08,28,POINT(-101.9 49.9)
2017-09-18,32,POINT(-102.8 35.2)
2016-11-02,3,POINT(-87.6 41.2)
2016-10-22,2,POINT(-101.7 27.3)
2016-08-21,85,POINT(-100.8 48.4)
2016-12-06,3,POINT(-105.7 44.3)
2017-08-15,24,POINT(-89.6 40.6)
2016-07-11,28,POINT(-100.5 29.4)
2016-12-29,2,POINT(-72.6 22.4)
2016-09-14,28,POINT(-75.4 49.0)
2017-05-25,11,POINT(-108.2 41.8)
2016-08-18,7,POINT(-99.8 24.1)
2016-01-14,22,POINT(-88.3 36.6)
2016-01-14,36,POINT(-119.2 38.3)
2017-07-09,18,POINT(-108.6 33.3)
2016-07-28,41,POINT(-105.7 34.2)
2016-02-09,1,POINT(-99.9 36.4)
2016-02-03,27,POINT(-75.5 44.0)
2016-08-21,4,POINT(-115.2 44.4)
2016-10-16,7,POINT(-116.7 48.8)
2017-03-08,17,POINT(-86.8 25.2)
2016-11-13,7,POINT(-101.8 23.3)
2017-10-01,4,POINT(-111.1 38.3)
2017-02-11,44,POINT(-84.9 41.1)
2017-12-21,48,POINT(-107.9 30.2)
2016-03-20,1,POINT(-91.7 49.5)
2016-06-24,14,POINT(-99.6 45.2)
2016-10-11,5,POINT(-101.9 34.8)
2017-09-21,40,POINT(-83.9 41.7)
2017-11-08,13,POINT(-89.3 33.6)
2016-11-13,14,POINT(-94.3 26.0)
2017-02-13,20,POINT(-113.6 24.8)
2016-05-21,2,POINT(-90.7 28.7)
2016-09-03,3,POINT(-85.4 46.9)
2016-06-25,14,POINT(-79.3 31.3)
2016-12-09,69,POINT(-105.0 47.2)
2016-09-20,38,POINT(-106.8 43.9)
2016-06-16,45,POINT(-82.6 38.2)
2016-01-25,3,POINT(-96.6 46.9)
2017-12-03,64,POINT(-99.7 25.7)
2017-06-10,27,POINT(-112.0 22.3)
2017-06-11,8,POINT(-98.3 42.5)
2016-11-05,40,POINT(-83.7 47.2)
2017-09-30,28,POINT(-97.5 31.5)
2016-01-28,27,POINT(-76.4 20.1)
2017-01-04,27,POINT(-119.8 43.0)
2017-01-18,33,POINT(-111.0 30.9)
2016-10-20,60,POINT(-89.3 37.6)
2017-10-25,3,POINT(-86.4 26.3)
2017-04-23,153,POINT(-106.2 40.4)
2017-08-02,42,POINT(-72.9 36.0)
2016-02-06,12,POINT(-103.5 20.8)
2017-06-30,4,POINT(-99.4 20.2)
2017-10-07,13,POINT(-71.2 33.1)
2017-11-03,31,POINT(-96.0 24.9)
2017-01-06,19,POINT(-89.4 47.2)
2017-09-13,7,POINT(-93.0 23.1)
2016-04-11,11,POINT(-111.1 41.5)
2016-12-20,62,POINT(-70.4 30.5)
2017-04-09,33,POINT(-117.0 48.0)
2017-11-24,3,POINT(-70.8 24.0)
2017-04-24,16,POINT(-96.6 43.3)
2017-10-20,54,POINT(-110.5 48.8)
2016-08-03,1,POINT(-111.7 48.7)
2017-10-12,1,POINT(-87.2 27.7)
2016-11-22,26,POINT(-84.5 28.9)
2017-11-30,18,POINT(-75.1 24.5)
2017-08-22,1,POINT(-108.2 31.2)
2016-09-03,111,POINT(-98.3 40.5)
2017-11-28,18,POINT(-71.4 20.3)
2016-03-28,14,POINT(-98.6 39.5)
2016-11-29,12,POINT(-97.0 20.5)
2017-10-25,25,POINT(-105.6 40.0)
2016-07-18,13,POINT(-76.5 45.2)
2017-01-17,22,POINT(-101.7 30.8)
2017-03-03,14,POINT(-88.2 32.2)
2016-11-30,19,POINT(-110.9 41.8)
2017-03-25,33,POINT(-89.2 44.3)
2016-08-03,34,POINT(-73.3 50.0)
2017-08-08,38,POINT(-81.2 36.2)
2017-11-02,5,POINT(-116.6 45.6)
2016-09-11,2,POINT(-88.3 21.7)
2017-06-12,37,POINT(-92.1 23.2)
2017-05-19,1,POINT(-103.1 46.1)
2017-03-13,5,POINT(-77.9 31.4)
2017-10-11,15,POINT(-80.4 26.8)
2017-04-14,39,POINT(-87.6 32.2)
2016-01-06,46,POINT(-82.8 35.8)
2016-08-06,20,POINT(-110.3 29.7)
2017-05-27,69,POINT(-74.0 25.9)
2017-07-29,27,POINT(-86.6 21.1)
2017-12-21,16,POINT(-96.6 43.0)
2017-05-27,3,POINT(-110.3 47.1)
2016-07-07,12,POINT(-85.9 20.5)
2016-09-03,35,POINT(-115.2 30.5)
2017-11-16,7,POINT(-104.0 46.8)
2017-09-12,18,POINT(-91.3 20.6)
2017-07-25,83,POINT(-87.7 41.9)
2017-07-08,4,POINT(-119.1 27.3)
2017-03-03,3,POINT(-119.6 43.2)
2017-07-03,32,POINT(-114.4 40.4)
2016-12-28,1,POINT(-81.6 48.2)
2017-08-16,21,POINT(-91.6 29.2)
2017-01-30,9,POINT(-89.6 24.5)
2017-09-14,26,POINT(-89.8 34.9)
2016-05-15,3,POINT(-118.2 49.5)
2017-03-09,9,POINT(-111.4 21.2)
2016-11-13,1,POINT(-83.6 25.4)
2017-06-18,6,POINT(-87.7 45.7)
2017-05-15,14,POINT(-97.7 40.6)
2016-12-14,4,POINT(-119.0 32.7)
2016-02-28,19,POINT(-99.2 34.8)
2016-05-19,3,POINT(-107.6 27.7)
2017-09-19,28,POINT(-85.1 48.9)
2016-07-22,51,POINT(-78.8 30.3)
2016-06-06,10,POINT(-94.8 31.4)
2016-11-25,16,POINT(-99.8 34.1)
2016-07-14,14,POINT(-106.3 26.4)
2017-03-06,31,POINT(-115.4 25.9)
2017-12-24,103,POINT(-101.4 38.0)
2017-07-06,27,POINT(-86.1 43.2)
2017-06-02,5,POINT(-86.7 42.6)
2017-09-08,24,POINT(-99.4 37.0)
2017-04-16,20,POINT(-71.7 39.2)
2017-04-02,5,POINT(-73.0 36.9)
2016-02-14,6,POINT(-76.2 46.2)
2016-02-07,22,POINT(-98.2 31.6)
2017-11-06,33,POINT(-82.7 23.7)
2017-08-15,29,POINT(-73.6 33.1)
2016-12-06,19,POINT(-83.1 46.1)
2017-07-23,56,POINT(-104.2 47.0)
2016-10-28,27,POINT(-116.6 37.7)
2017-09-26,16,POINT(-72.1 21.9)
2017-12-07,34,POINT(-70.4 41.7)
2016-07-11,7,POINT(-85.3 39.6)
2017-09-07,7,POINT(-104.2 33.6)
2017-09-15,72,POINT(-76.7 24.9)
2016-05-11,60,POINT(-72.3 38.2)
2017-08-30,43,POINT(-94.7 34.5)
2017-08-17,5,POINT(-104.4 21.8)
2017-04-12,18,POINT(-99.7 31.9)
2016-06-18,16,POINT(-116.3 48.2)
2017-07-14,5,POINT(-91.7 32.3)
2017-10-08,12,POINT(-101.1 32.9)
2016-09-21,13,POINT(-75.8 36.7)
2016-07-17,6,POINT(-106.2 28.9)
2016-10-09,62,POINT(-119.6 22.2)
2017-02-08,14,POINT(-83.1 38.0)
2017-06-30,15,POINT(-119.6 34.9)
2017-04-24,19,POINT(-92.7 40.5)
2016-07-22,44,POINT(-110.9 34.3)
2017-04-15,16,POINT(-89.5 27.4)
2016-12-14,16,POINT(-110.1 31.5)
2016-02-12,6,POINT(-94.9 20.4)
2017-04-26,19,POINT(-103.2 24.7)
2017-01-11,10,POINT(-110.9 43.6)
2016-03-18,21,POINT(-89.7 48.0)
2016-02-05,8,POINT(-115.9 31.0)
2017-01-17,26,POINT(-72.9 47.8)
2016-06-22,20,POINT(-81.1 39.1)
2017-10-08,13,POINT(-74.2 28.4)
2016-11-25,3,POINT(-117.9 38.0)
2017-10-13,20,POINT(-119.9 44.2)
2016-02-24,40,POINT(-102.1 43.6)
2016-10-05,4,POINT(-89.2 46.6)
2017-04-03,2,POINT(-107.8 43.6)
2017-11-22,1,POINT(-92.5 40.9)
2017-06-08,1,POINT(-89.7 31.5)
2017-12-16,37,POINT(-112.4 25.4)
2017-03-30,27,POINT(-81.6 23.4)
2017-07-28,5,POINT(-73.2 44.4)
2017-05-06,50,POINT(-88.0 43.0)
2016-03-14,3,POINT(-72.6 46.8)
2017-03-30,10,POINT(-107.7 22.1)
2016-06-03,13,POINT(-118.2 39.1)
2017-06-02,2,POINT(-107.6 41.6)
2017-01-09,9,POINT(-87.6 32.4)
2016-11-01,3,POINT(-90.1 35.9)
2016-12-08,32,POINT(-106.6 34.9)
2017-10-26,1,POINT(-99.6 33.0)
2016-02-13,1,POINT(-101.6 28.7)
2017-07-01,27,POINT(-72.5 49.7)
2017-03-16,31,POINT(-104.3 46.5)
2016-04-06,14,POINT(-110.3 43.6)
2016-06-13,8,POINT(-91.7 45.3)
2016-04-12,6,POINT(-113.8 45.1)
2017-03-11,3,POINT(-94.6 22.2)
2017-01-15,14,POINT(-85.7 37.2)
2017-03-22,14,POINT(-72.8 34.1)
2016-01-07,13,POINT(-75.4 26.0)
2016-04-03,31,POINT(-77.9 27.8)
2017-03-19,3,POINT(-100.3 24.2)
2017-04-23,23,POINT(-75.3 34.2)
2017-09-24,11,POINT(-84.2 27.7)
2017-05-08,6,POINT(-97.9 26.4)
2016-02-06,23,POINT(-91.8 36.5)
2017-06-16,5,POINT(-98.2 26.4)
2016-04-07,6,POINT(-110.2 37.7)
2016-01-21,131,POINT(-97.4 24.7)
2016-08-19,44,POINT(-79.6 41.2)
2017-04-12,24,POINT(-106.7 29.1)
2016-12-19,8,POINT(-88.0 42.9)
2016-03-12,16,POINT(-92.3 43.9)
2016-12-17,3,POINT(-74.0 49.6)
2016-02-21,9,POINT(-82.7 20.5)
2016-08-09,2,POINT(-101.9 44.3)
2016-11-20,19,POINT(-91.9 34.5)
2017-04-04,39,POINT(-74.4 23.7)
2016-06-15,34,POINT(-108.7 42.7)
2016-10-09,39,POINT(-96.3 22.0)
2017-05-15,4,POINT(-108.9 46.0)
2017-12-17,22,POINT(-99.1 39.0)
2017-01-01,63,POINT(-117.1 25.7)
