Company,Valuation,Date Joined,Industry,City,Country/Region,Continent,Year Founded,Funding,Select Investors
Company_48,$26B,08/10/12,Artificial intelligence,Shenzhen,Germany,North America,2003,$210M,"Sequoia Capital, Tiger Global, Accel"
Company_49,$2B,08/30/12,Internet software & services,Bengaluru,United States,Asia,1997,$350M,"Sequoia Capital, Tiger Global, Accel"
Company_50,$20B,09/19/12,E-commerce & direct-to-consumer,San Francisco,Germany,Europe,2019,$482M,"Sequoia Capital, Tiger Global, Accel"
Company_51,$28B,10/08/12,Artificial intelligence,Beijing,United States,North America,1996,$106M,"Sequoia Capital, Tiger Global, Accel"
Company_52,$47B,10/28/12,Fintech,Beijing,China,Europe,2006,$558M,"Sequoia Capital, Tiger Global, Accel"
Company_53,$7B,11/17/12,Internet software & services,Berlin,India,Asia,2004,$183M,"Sequoia Capital, Tiger Global, Accel"
Company_54,$44B,12/07/12,Consumer & retail,Beijing,United Kingdom,Asia,2003,$307M,"Sequoia Capital, Tiger Global, Accel"
Company_55,$8B,12/27/12,Artificial intelligence,New York,Germany,North America,2009,$489M,"Sequoia Capital, Tiger Global, Accel"
Company_56,$47B,01/16/13,E-commerce & direct-to-consumer,Shenzhen,India,Asia,2002,$413M,"Sequoia Capital, Tiger Global, Accel"
Company_57,$35B,02/05/13,Other,Shenzhen,United Kingdom,North America,2019,$121M,"Sequoia Capital, Tiger Global, Accel"
Company_58,$14B,02/24/13,Mobile & telecommunications,Bengaluru,United Kingdom,Asia,1999,$509M,"Sequoia Capital, Tiger Global, Accel"
Company_59,$17B,03/16/13,"Supply chain, logistics, & delivery",San Francisco,United States,Asia,2005,$614M,"Sequoia Capital, Tiger Global, Accel"
Company_60,$36B,04/05/13,E-commerce & direct-to-consumer,Berlin,China,North America,2021,$226M,"Sequoia Capital, Tiger Global, Accel"
Company_61,$40B,04/25/13,Data management & analytics,San Francisco,China,North America,1996,$799M,"Sequoia Capital, Tiger Global, Accel"
Company_62,$4B,05/15/13,Data management & analytics,Beijing,India,North America,2018,$113M,"Sequoia Capital, Tiger Global, Accel"
Company_63,$2B,06/04/13,Other,Bengaluru,China,Asia,2009,$111M,"Sequoia Capital, Tiger Global, Accel"
Company_64,$6B,06/23/13,"Supply chain, logistics, & delivery",San Francisco,Germany,Asia,2000,$186M,"Sequoia Capital, Tiger Global, Accel"
Company_65,$42B,07/13/13,Consumer & retail,New York,China,Europe,2002,$623M,"Sequoia Capital, Tiger Global, Accel"
Company_66,$4B,08/02/13,Other,Shenzhen,India,North America,2021,$636M,"Sequoia Capital, Tiger Global, Accel"
Company_67,$29B,08/22/13,Other,Beijing,China,Asia,1999,$400M,"Sequoia Capital, Tiger Global, Accel"
Company_68,$18B,09/11/13,Artificial intelligence,Bengaluru,Germany,Asia,2010,$342M,"Sequoia Capital, Tiger Global, Accel"
Company_69,$26B,10/01/13,Data management & analytics,San Francisco,United States,North America,2020,$221M,"Sequoia Capital, Tiger Global, Accel"
Company_70,$44B,10/20/13,Artificial intelligence,Berlin,India,Europe,2012,$246M,"Sequoia Capital, Tiger Global, Accel"
Company_71,$34B,11/09/13,Mobile & telecommunications,New York,United States,North America,2000,$666M,"Sequoia Capital, Tiger Global, Accel"
Company_72,$10B,11/29/13,"Supply chain, logistics, & delivery",New York,United States,Europe,1999,$849M,"Sequoia Capital, Tiger Global, Accel"
Company_73,$36B,12/19/13,Consumer & retail,San Francisco,United States,Asia,2010,$455M,"Sequoia Capital, Tiger Global, Accel"
Company_74,$14B,01/08/14,Consumer & retail,Shenzhen,United Kingdom,Europe,2007,$784M,"Sequoia Capital, Tiger Global, Accel"
Company_75,$31B,01/28/14,E-commerce & direct-to-consumer,San Francisco,United Kingdom,Asia,1999,$832M,"Sequoia Capital, Tiger Global, Accel"
Company_76,$48B,02/17/14,Other,Beijing,United States,North America,2007,$730M,"Sequoia Capital, Tiger Global, Accel"
Company_77,$15B,03/08/14,Mobile & telecommunications,San Francisco,India,North America,2011,$408M,"Sequoia Capital, Tiger Global, Accel"
Company_78,$8B,03/28/14,Data management & analytics,New York,Germany,North America,2012,$794M,"Sequoia Capital, Tiger Global, Accel"
Company_79,$14B,04/17/14,Consumer & retail,Bengaluru,Germany,Europe,2002,$387M,"Sequoia Capital, Tiger Global, Accel"
Company_80,$23B,05/07/14,Mobile & telecommunications,San Francisco,China,Asia,2007,$406M,"Sequoia Capital, Tiger Global, Accel"
Company_81,$40B,05/27/14,Fintech,Shenzhen,India,North America,2013,$693M,"Sequoia Capital, Tiger Global, Accel"
Company_82,$21B,06/16/14,Fintech,Bengaluru,United Kingdom,North America,2020,$822M,"Sequoia Capital, Tiger Global, Accel"
Company_83,$16B,07/05/14,Artificial intelligence,Berlin,United States,Asia,1997,$761M,"Sequoia Capital, Tiger Global, Accel"
Company_84,$45B,07/25/14,Data management & analytics,London,China,North America,2018,$648M,"Sequoia Capital, Tiger Global, Accel"
Company_85,$18B,08/14/14,E-commerce & direct-to-consumer,San Francisco,Germany,Asia,2002,$451M,"Sequoia Capital, Tiger Global, Accel"
Company_86,$47B,09/03/14,Consumer & retail,Shenzhen,United Kingdom,Asia,1996,$411M,"Sequoia Capital, Tiger Global, Accel"
Company_87,$24B,09/23/14,Other,Bengaluru,United Kingdom,Asia,2002,$158M,"Sequoia Capital, Tiger Global, Accel"
Company_88,$26B,10/13/14,Other,Shenzhen,United States,Asia,2021,$742M,"Sequoia Capital, Tiger Global, Accel"
Company_89,$25B,11/02/14,Consumer & retail,Berlin,Germany,Asia,2007,$813M,"Sequoia Capital, Tiger Global, Accel"
Company_90,$45B,11/21/14,"Supply chain, logistics, & delivery",New York,India,Europe,2007,$854M,"Sequoia Capital, Tiger Global, Accel"
Company_91,$41B,12/11/14,E-commerce & direct-to-consumer,Shenzhen,United Kingdom,North America,1995,$134M,"Sequoia Capital, Tiger Global, Accel"
Company_92,$29B,12/31/14,Mobile & telecommunications,Bengaluru,United States,Europe,2000,$544M,"Sequoia Capital, Tiger Global, Accel"
Company_93,$15B,01/20/15,"Supply chain, logistics, & delivery",Shenzhen,India,North America,2018,$192M,"Sequoia Capital, Tiger Global, Accel"
Company_94,$45B,02/09/15,"Supply chain, logistics, & delivery",Shenzhen,Germany,Europe,2013,$306M,"Sequoia Capital, Tiger Global, Accel"
Company_95,$1B,03/01/15,Artificial intelligence,Shenzhen,United Kingdom,Asia,2010,$452M,"Sequoia Capital, Tiger Global, Accel"
Company_96,$25B,03/20/15,Fintech,Beijing,India,North America,2002,$431M,"Sequoia Capital, Tiger Global, Accel"
Company_97,$7B,04/09/15,"Supply chain, logistics, & delivery",Beijing,India,North America,1995,$824M,"Sequoia Capital, Tiger Global, Accel"
Company_98,$9B,04/29/15,"Supply chain, logistics, & delivery",New York,India,Europe,2021,$258M,"Sequoia Capital, Tiger Global, Accel"
Company_99,$24B,05/19/15,Internet software & services,San Francisco,United Kingdom,Europe,2021,$123M,"Sequoia Capital, Tiger Global, Accel"
Company_100,$1B,06/08/15,Artificial intelligence,Shenzhen,United Kingdom,North America,2010,$503M,"Sequoia Capital, Tiger Global, Accel"
Company_101,$44B,06/28/15,Data management & analytics,Berlin,China,Europe,2003,$615M,"Sequoia Capital, Tiger Global, Accel"
Company_102,$8B,07/17/15,Internet software & services,San Francisco,Germany,Europe,2007,$831M,"Sequoia Capital, Tiger Global, Accel"
Company_103,$24B,08/06/15,Internet software & services,Berlin,United States,Europe,2005,$463M,"Sequoia Capital, Tiger Global, Accel"
Company_104,$11B,08/26/15,Consumer & retail,San Francisco,India,Asia,2007,$481M,"Sequoia Capital, Tiger Global, Accel"
Company_105,$17B,09/15/15,Fintech,New York,China,Asia,2019,$631M,"Sequoia Capital, Tiger Global, Accel"
Company_106,$8B,10/05/15,"Supply chain, logistics, & delivery",Shenzhen,United States,Europe,2015,$251M,"Sequoia Capital, Tiger Global, Accel"
Company_107,$35B,10/25/15,Fintech,Shenzhen,China,Europe,2004,$661M,"Sequoia Capital, Tiger Global, Accel"
Company_108,$35B,11/14/15,E-commerce & direct-to-consumer,London,United Kingdom,Asia,1998,$788M,"Sequoia Capital, Tiger Global, Accel"
Company_109,$33B,12/03/15,Consumer & retail,Berlin,India,Asia,2021,$707M,"Sequoia Capital, Tiger Global, Accel"
Company_110,$5B,12/23/15,Data management & analytics,San Francisco,United States,North America,2000,$716M,"Sequoia Capital, Tiger Global, Accel"
Company_111,$42B,01/12/16,Fintech,San Francisco,United States,North America,2001,$519M,"Sequoia Capital, Tiger Global, Accel"
Company_112,$39B,02/01/16,Other,Beijing,United States,Asia,1999,$349M,"Sequoia Capital, Tiger Global, Accel"
Company_113,$41B,02/21/16,E-commerce & direct-to-consumer,London,United States,Europe,2005,$216M,"Sequoia Capital, Tiger Global, Accel"
Company_114,$28B,03/12/16,Artificial intelligence,Bengaluru,United States,Europe,2007,$611M,"Sequoia Capital, Tiger Global, Accel"
Company_115,$7B,03/31/16,Data management & analytics,Bengaluru,China,Europe,2020,$839M,"Sequoia Capital, Tiger Global, Accel"
Company_116,$9B,04/20/16,E-commerce & direct-to-consumer,Beijing,India,Europe,2019,$677M,"Sequoia Capital, Tiger Global, Accel"
Company_117,$8B,05/10/16,Consumer & retail,Beijing,United Kingdom,North America,2013,$434M,"Sequoia Capital, Tiger Global, Accel"
Company_118,$12B,05/30/16,Internet software & services,Beijing,United Kingdom,Asia,2017,$517M,"Sequoia Capital, Tiger Global, Accel"
Company_119,$34B,06/19/16,Internet software & services,Berlin,United Kingdom,Europe,2004,$873M,"Sequoia Capital, Tiger Global, Accel"
Company_120,$33B,07/09/16,Consumer & retail,Berlin,United Kingdom,North America,2004,$394M,"Sequoia Capital, Tiger Global, Accel"
Company_121,$48B,07/28/16,Mobile & telecommunications,New York,China,Europe,2005,$854M,"Sequoia Capital, Tiger Global, Accel"
Company_122,$23B,08/17/16,Internet software & services,New York,Germany,Asia,2015,$470M,"Sequoia Capital, Tiger Global, Accel"
Company_123,$24B,09/06/16,Artificial intelligence,Beijing,India,North America,2001,$285M,"Sequoia Capital, Tiger Global, Accel"
Company_124,$37B,09/26/16,Artificial intelligence,London,United States,Asia,2012,$345M,"Sequoia Capital, Tiger Global, Accel"
Company_125,$35B,10/16/16,Other,San Francisco,Germany,Asia,1998,$736M,"Sequoia Capital, Tiger Global, Accel"
Company_126,$44B,11/05/16,"Supply chain, logistics, & delivery",Berlin,United Kingdom,North America,1996,$367M,"Sequoia Capital, Tiger Global, Accel"
Company_127,$40B,11/25/16,Mobile & telecommunications,London,Germany,North America,2008,$742M,"Sequoia Capital, Tiger Global, Accel"
Company_128,$22B,12/14/16,Data management & analytics,Shenzhen,India,North America,2007,$336M,"Sequoia Capital, Tiger Global, Accel"
Company_129,$27B,01/03/17,Internet software & services,Berlin,United States,North America,2006,$629M,"Sequoia Capital, Tiger Global, Accel"
Company_130,$35B,01/23/17,Artificial intelligence,Berlin,United States,North America,2001,$651M,"Sequoia Capital, Tiger Global, Accel"
Company_131,$1B,02/12/17,Consumer & retail,New York,India,North America,1996,$120M,"Sequoia Capital, Tiger Global, Accel"
Company_132,$35B,03/04/17,Internet software & services,San Francisco,India,North America,2007,$836M,"Sequoia Capital, Tiger Global, Accel"
Company_133,$37B,03/24/17,"Supply chain, logistics, & delivery",San Francisco,United Kingdom,Europe,2008,$893M,"Sequoia Capital, Tiger Global, Accel"
Company_134,$47B,04/12/17,Consumer & retail,Bengaluru,United States,Asia,2021,$619M,"Sequoia Capital, Tiger Global, Accel"
Company_135,$14B,05/02/17,E-commerce & direct-to-consumer,Bengaluru,Germany,North America,2011,$199M,"Sequoia Capital, Tiger Global, Accel"
Company_136,$3B,05/22/17,E-commerce & direct-to-consumer,Bengaluru,China,Europe,2003,$851M,"Sequoia Capital, Tiger Global, Accel"
Company_137,$1B,06/11/17,Internet software & services,Bengaluru,China,Europe,2011,$577M,"Sequoia Capital, Tiger Global, Accel"
Company_138,$5B,07/01/17,"Supply chain, logistics, & delivery",Shenzhen,India,Europe,2002,$698M,"Sequoia Capital, Tiger Global, Accel"
Company_139,$26B,07/21/17,Mobile & telecommunications,Shenzhen,United Kingdom,Asia,1996,$397M,"Sequoia Capital, Tiger Global, Accel"
Company_140,$14B,08/09/17,Internet software & services,Berlin,China,North America,2018,$625M,"Sequoia Capital, Tiger Global, Accel"
Company_141,$39B,08/29/17,Artificial intelligence,Beijing,United States,Europe,2007,$433M,"Sequoia Capital, Tiger Global, Accel"
Company_142,$27B,09/18/17,Fintech,New York,India,Asia,1997,$101M,"Sequoia Capital, Tiger Global, Accel"
Company_143,$9B,10/08/17,Internet software & services,New York,Germany,Asia,2010,$474M,"Sequoia Capital, Tiger Global, Accel"
Company_144,$15B,10/28/17,Internet software & services,Bengaluru,India,Asia,2000,$392M,"Sequoia Capital, Tiger Global, Accel"
Company_145,$15B,11/17/17,Consumer & retail,Berlin,Germany,Europe,2013,$652M,"Sequoia Capital, Tiger Global, Accel"
Company_146,$26B,12/07/17,Fintech,London,India,North America,2001,$417M,"Sequoia Capital, Tiger Global, Accel"
Company_147,$42B,12/26/17,Artificial intelligence,Beijing,India,Europe,2004,$601M,"Sequoia Capital, Tiger Global, Accel"
Company_148,$13B,01/15/18,Internet software & services,Berlin,India,Europe,2003,$480M,"Sequoia Capital, Tiger Global, Accel"
Company_149,$32B,02/04/18,Consumer & retail,Beijing,Germany,North America,1996,$722M,"Sequoia Capital, Tiger Global, Accel"
Company_150,$39B,02/24/18,"Supply chain, logistics, & delivery",Beijing,Germany,North America,2009,$113M,"Sequoia Capital, Tiger Global, Accel"
Company_151,$49B,03/16/18,Internet software & services,Beijing,India,North America,1999,$603M,"Sequoia Capital, Tiger Global, Accel"
Company_152,$32B,04/05/18,Fintech,Berlin,China,Asia,2016,$330M,"Sequoia Capital, Tiger Global, Accel"
Company_153,$4B,04/24/18,Other,Bengaluru,United Kingdom,North America,1998,$183M,"Sequoia Capital, Tiger Global, Accel"
Company_154,$30B,05/14/18,Fintech,New York,United Kingdom,Europe,2014,$229M,"Sequoia Capital, Tiger Global, Accel"
Company_155,$37B,06/03/18,E-commerce & direct-to-consumer,New York,United Kingdom,North America,1998,$842M,"Sequoia Capital, Tiger Global, Accel"
Company_156,$23B,06/23/18,Artificial intelligence,Bengaluru,Germany,Europe,2012,$244M,"Sequoia Capital, Tiger Global, Accel"
Company_157,$39B,07/13/18,Data management & analytics,Beijing,Germany,Asia,1998,$127M,"Sequoia Capital, Tiger Global, Accel"
Company_158,$45B,08/02/18,Internet software & services,London,China,Europe,2021,$165M,"Sequoia Capital, Tiger Global, Accel"
Company_159,$15B,08/22/18,Fintech,San Francisco,United Kingdom,Europe,2011,$262M,"Sequoia Capital, Tiger Global, Accel"
Company_160,$43B,09/10/18,Data management & analytics,Berlin,United Kingdom,North America,2006,$328M,"Sequoia Capital, Tiger Global, Accel"
Company_161,$29B,09/30/18,Consumer & retail,San Francisco,India,North America,2016,$360M,"Sequoia Capital, Tiger Global, Accel"
Company_162,$36B,10/20/18,Other,Bengaluru,Germany,Europe,2011,$548M,"Sequoia Capital, Tiger Global, Accel"
Company_163,$13B,11/09/18,Artificial intelligence,London,United Kingdom,North America,2004,$523M,"Sequoia Capital, Tiger Global, Accel"
Company_164,$32B,11/29/18,Fintech,Berlin,China,Asia,2016,$559M,"Sequoia Capital, Tiger Global, Accel"
Company_165,$7B,12/19/18,Data management & analytics,Bengaluru,China,Asia,1995,$775M,"Sequoia Capital, Tiger Global, Accel"
Company_166,$22B,01/07/19,Other,Beijing,United Kingdom,North America,2016,$400M,"Sequoia Capital, Tiger Global, Accel"
Company_167,$28B,01/27/19,E-commerce & direct-to-consumer,New York,Germany,Asia,2020,$402M,"Sequoia Capital, Tiger Global, Accel"
Company_168,$2B,02/16/19,Artificial intelligence,San Francisco,China,North America,2018,$386M,"Sequoia Capital, Tiger Global, Accel"
Company_169,$42B,03/08/19,Artificial intelligence,Shenzhen,India,Europe,2021,$494M,"Sequoia Capital, Tiger Global, Accel"
Company_170,$45B,03/28/19,E-commerce & direct-to-consumer,Shenzhen,China,Europe,2012,$109M,"Sequoia Capital, Tiger Global, Accel"
Company_171,$6B,04/17/19,Internet software & services,London,United States,Asia,2012,$806M,"Sequoia Capital, Tiger Global, Accel"
Company_172,$28B,05/06/19,E-commerce & direct-to-consumer,Beijing,United States,North America,2008,$729M,"Sequoia Capital, Tiger Global, Accel"
Company_173,$28B,05/26/19,Artificial intelligence,San Francisco,Germany,North America,2009,$369M,"Sequoia Capital, Tiger Global, Accel"
Company_174,$44B,06/15/19,Artificial intelligence,Beijing,United Kingdom,Asia,2006,$691M,"Sequoia Capital, Tiger Global, Accel"
Company_175,$44B,07/05/19,Data management & analytics,San Francisco,Germany,Europe,1998,$704M,"Sequoia Capital, Tiger Global, Accel"
Company_176,$20B,07/25/19,Other,London,Germany,Asia,2021,$877M,"Sequoia Capital, Tiger Global, Accel"
Company_177,$30B,08/14/19,E-commerce & direct-to-consumer,London,Germany,Europe,1997,$460M,"Sequoia Capital, Tiger Global, Accel"
Company_178,$11B,09/03/19,Other,Shenzhen,Germany,North America,2014,$356M,"Sequoia Capital, Tiger Global, Accel"
Company_179,$28B,09/22/19,E-commerce & direct-to-consumer,Beijing,India,Europe,2006,$232M,"Sequoia Capital, Tiger Global, Accel"
Company_180,$25B,10/12/19,Consumer & retail,Berlin,India,Asia,2001,$375M,"Sequoia Capital, Tiger Global, Accel"
Company_181,$39B,11/01/19,Artificial intelligence,Shenzhen,China,North America,2005,$875M,"Sequoia Capital, Tiger Global, Accel"
Company_182,$33B,11/21/19,Data management & analytics,Beijing,United States,Asia,1995,$782M,"Sequoia Capital, Tiger Global, Accel"
Company_183,$1B,12/11/19,Other,Shenzhen,Germany,Asia,2000,$612M,"Sequoia Capital, Tiger Global, Accel"
Company_184,$27B,12/31/19,E-commerce & direct-to-consumer,Berlin,China,Europe,2009,$412M,"Sequoia Capital, Tiger Global, Accel"
Company_185,$13B,01/19/20,Mobile & telecommunications,New York,United States,Asia,2009,$675M,"Sequoia Capital, Tiger Global, Accel"
Company_186,$41B,02/08/20,Consumer & retail,New York,United Kingdom,Europe,2013,$383M,"Sequoia Capital, Tiger Global, Accel"
Company_187,$3B,02/28/20,Fintech,New York,India,North America,2005,$220M,"Sequoia Capital, Tiger Global, Accel"
Company_188,$39B,03/19/20,Internet software & services,New York,United States,Europe,2020,$206M,"Sequoia Capital, Tiger Global, Accel"
Company_189,$6B,04/08/20,Other,Bengaluru,United Kingdom,North America,2017,$786M,"Sequoia Capital, Tiger Global, Accel"
Company_190,$8B,04/28/20,Data management & analytics,San Francisco,United States,Europe,2020,$303M,"Sequoia Capital, Tiger Global, Accel"
Company_191,$27B,05/17/20,Fintech,Bengaluru,India,Asia,1996,$264M,"Sequoia Capital, Tiger Global, Accel"
Company_192,$9B,06/06/20,Mobile & telecommunications,Bengaluru,India,Europe,2008,$404M,"Sequoia Capital, Tiger Global, Accel"
Company_193,$37B,06/26/20,Internet software & services,Bengaluru,China,Europe,1996,$596M,"Sequoia Capital, Tiger Global, Accel"
Company_194,$33B,07/16/20,Mobile & telecommunications,New York,Germany,North America,1998,$731M,"Sequoia Capital, Tiger Global, Accel"
Company_195,$42B,08/05/20,Fintech,Berlin,United States,Asia,2011,$655M,"Sequoia Capital, Tiger Global, Accel"
Company_196,$44B,08/25/20,Internet software & services,London,United States,Europe,1997,$255M,"Sequoia Capital, Tiger Global, Accel"
Company_197,$24B,09/14/20,Mobile & telecommunications,London,United Kingdom,Asia,2007,$466M,"Sequoia Capital, Tiger Global, Accel"
Company_198,$15B,10/03/20,Data management & analytics,San Francisco,India,Europe,2003,$818M,"Sequoia Capital, Tiger Global, Accel"
Company_199,$32B,10/23/20,E-commerce & direct-to-consumer,New York,United States,Europe,2001,$719M,"Sequoia Capital, Tiger Global, Accel"
Company_200,$32B,11/12/20,Artificial intelligence,New York,India,Asia,2009,$350M,"Sequoia Capital, Tiger Global, Accel"
Company_201,$24B,12/02/20,E-commerce & direct-to-consumer,New York,United States,Europe,2017,$433M,"Sequoia Capital, Tiger Global, Accel"
Company_202,$41B,12/22/20,Fintech,Shenzhen,China,Asia,2005,$741M,"Sequoia Capital, Tiger Global, Accel"
Company_203,$49B,01/11/21,Other,Beijing,Germany,Europe,2014,$610M,"Sequoia Capital, Tiger Global, Accel"
Company_204,$49B,01/30/21,Artificial intelligence,Shenzhen,United States,North America,1996,$392M,"Sequoia Capital, Tiger Global, Accel"
Company_205,$12B,02/19/21,Consumer & retail,Beijing,India,Asia,2009,$119M,"Sequoia Capital, Tiger Global, Accel"
Company_206,$39B,03/11/21,Data management & analytics,New York,China,Europe,2008,$381M,"Sequoia Capital, Tiger Global, Accel"
Company_207,$2B,03/31/21,Consumer & retail,New York,United States,Europe,2014,$896M,"Sequoia Capital, Tiger Global, Accel"
Company_208,$3B,04/20/21,Internet software & services,Shenzhen,United Kingdom,North America,2016,$100M,"Sequoia Capital, Tiger Global, Accel"
Company_209,$49B,05/10/21,Artificial intelligence,Shenzhen,Germany,Asia,2005,$218M,"Sequoia Capital, Tiger Global, Accel"
Company_210,$37B,05/29/21,Consumer & retail,Beijing,United States,Europe,2021,$134M,"Sequoia Capital, Tiger Global, Accel"
Company_211,$49B,06/18/21,Consumer & retail,London,China,North America,1997,$297M,"Sequoia Capital, Tiger Global, Accel"
